TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,MutationScore,disjointMutationScore
org.eclipse.californium.core.coap.UriQueryParameterTest.testGetArgumentAsLongWithMinimum,1,3,1,1,1,0.36,10,32,1,0.00,0.00
org.eclipse.californium.oscore.OSCoreServerClientTest.testReplayWindowTooOld,1,139,27,2,2,0.02,56,1416,0,0.00,0.00
org.eclipse.californium.core.network.stack.CoapUdpStackTest.sendResponseExpectSent,4,72,25,5,4,0.05,40,540,0,0.00,0.00
org.eclipse.californium.scandium.dtls.ClientHandshakerTest.testClientHelloContainsServerNameExtensionForMessageWithVirtualHost,3,247,53,5,3,0.08,69,1937,1,0.00,0.00
org.eclipse.californium.scandium.dtls.cipher.CCMBlockCipherTest.testAES256CCMCryption[0],0,12,6,2,1,0.05,29,126,1,0.00,0.00
org.eclipse.californium.scandium.dtls.cipher.CbcBlockCipherTest.testAes256and128CryptionFails[10],0,22,6,2,1,0.57,25,121,1,0.00,0.00
org.eclipse.californium.core.test.lockstep.ObserveServerSideTest.testNON,6,341,63,9,1,0.06,434,2218,0,0.00,0.00
org.eclipse.californium.elements.util.SslContextUtilCredentialsTest.testLoadCredentialsNullUri,0,1,1,1,1,0.00,1,13,1,0.00,0.00
org.eclipse.californium.proxy2.http.CrossProtocolTranslatorTest.testCoapOptionsAcceptWithqualifier,4,21,2,1,1,0.31,13,339,1,0.00,0.00
org.eclipse.californium.scandium.dtls.RecordTest.testConstructorEnforcesMaxSequenceNo,5,51,13,3,2,0.25,32,268,1,0.00,0.00
org.eclipse.californium.scandium.config.DtlsConnectorConfigTest.testServerOnlyWithDisabledRequiredAuthenticationFailsOnTrust,0,13,6,2,2,0.06,15,295,1,0.00,0.00
org.eclipse.californium.core.observe.ObserveRelationTest.testEstablished,2,77,14,4,4,0.26,59,611,1,0.00,0.00
org.eclipse.californium.elements.util.DatagramWriterTest.testWriteEmptyVarBytes,2,16,3,1,1,0.19,13,117,1,0.00,0.00
org.eclipse.californium.elements.util.LeastRecentlyUpdatedCacheTest.testMultipleIteratorsRemove,1,23,7,1,1,0.34,120,126,1,0.00,0.00
org.eclipse.californium.elements.util.SerializationUtilTest.testNanotimeSynchronizationMark,2,29,6,1,1,0.18,48,222,1,0.00,0.00
org.eclipse.californium.core.coap.CoapTest.testInvalidGetSchemeForProtocol,0,1,1,1,1,0.00,2,9,0,0.00,0.00
org.eclipse.californium.core.test.lockstep.BlockwiseClientSideTest.testIncompleteBlock1NoAckNoResponse,9,408,74,7,4,0.08,441,2906,0,0.00,0.00
org.eclipse.californium.elements.util.SslContextUtilTrustTest.testCreateTrustManagerNullCertificates,0,1,1,1,1,0.00,1,16,1,0.00,0.00
org.eclipse.californium.proxy2.http.CrossProtocolTranslatorTest.testHttpHeader,4,22,3,1,1,0.20,32,297,1,0.00,0.00
org.eclipse.californium.scandium.dtls.cipher.CCMBlockCipherTest.testDifferentKey[1],0,12,6,2,1,0.04,29,133,1,0.00,0.00
org.eclipse.californium.core.test.MaliciousClientTest.testBertRequest,4,125,24,3,2,0.10,63,891,0,0.00,0.00
org.eclipse.californium.elements.util.Asn1DerDecoderTest.testKeyAlgorithmEddsa,0,29,8,1,1,0.09,6,282,1,0.00,0.00
org.eclipse.californium.scandium.dtls.cipher.CbcBlockCipherTest.testAes128Sha256Cryption[7],0,22,6,2,1,0.57,25,115,1,0.00,0.00
org.eclipse.californium.core.multicast.MulticastTest.clientUnicastReject,2,330,70,10,1,0.04,68,2487,0,0.00,0.00
org.eclipse.californium.scandium.dtls.DTLSContextTest.testLowerEpochFails,4,56,12,3,2,0.55,48,262,1,0.00,0.00
org.eclipse.californium.proxy2.http.CrossProtocolTranslatorTest.testInvalidHttpMethod,4,19,2,1,1,0.03,10,235,1,0.00,0.00
org.eclipse.californium.elements.util.CertPathUtilTest.testToX509CertificatesList,0,9,4,1,1,0.39,24,125,1,0.00,0.00
org.eclipse.californium.scandium.DTLSConnectorTest.testStartStopWithSameAddressPersistent,4,759,110,7,1,0.08,184,6321,1,0.00,0.00
org.eclipse.californium.scandium.config.DtlsConnectorConfigTest.testBuilderSupportEdDsaForCertificate,1,86,21,5,3,0.03,15,756,1,0.00,0.00
org.eclipse.californium.elements.util.DatagramReaderTest.testBitsLeftWorksForEmptyBuffer,1,2,1,1,1,0.25,6,23,1,0.00,0.00
org.eclipse.californium.core.test.BlockwiseBertTransferTest.test_GET_long_M1,2,398,64,9,1,0.04,159,2845,0,0.00,0.00
org.eclipse.californium.elements.util.TimeStatisticTest.testPercentiles,1,8,4,1,1,0.11,30,103,1,0.00,0.00
org.eclipse.californium.core.observe.ObserveRelationTest.testConstructorRejectsNull,2,31,7,3,3,0.12,31,328,0,0.00,0.00
org.eclipse.californium.elements.util.DatagramReaderTest.testBitsLeftWorksForByteWiseReading,1,5,2,1,1,0.24,12,52,1,0.00,0.00
org.eclipse.californium.core.test.lockstep.ObserveServerSideTest.testQuickChangeAndTimeout,5,337,62,9,1,0.06,456,2187,0,0.00,0.00
org.eclipse.californium.scandium.config.DtlsConnectorConfigTest.testBuilderDetectsNotRecommendedCiperSuite,1,16,7,3,3,0.67,12,323,1,0.00,0.00
org.eclipse.californium.oscore.ContextRederivationTest.testServerInitiatedRederivation,2,156,26,2,2,0.04,97,1500,1,0.00,0.00
org.eclipse.californium.elements.UdpEndpointContextMatcherTest.testResponse,5,28,11,2,1,0.00,76,295,1,0.00,0.00
org.eclipse.californium.osgi.ManagedServerTest.testAddingService,1,3,1,1,1,0.96,36,39,1,0.00,0.00
org.eclipse.californium.scandium.dtls.cipher.CbcBlockCipherTest.testDifferentNonce[2],0,22,6,2,1,0.57,25,121,1,0.00,0.00
org.eclipse.californium.scandium.dtls.cipher.CbcBlockCipherTest.testDifferentAdditionalData[7],0,22,6,2,1,0.57,26,121,1,0.00,0.00
org.eclipse.californium.core.test.NoResponseServerClientTest.testResponse,8,354,69,9,1,0.08,134,2742,1,0.00,0.00
org.eclipse.californium.scandium.DTLSConnectorResumeTest.testConnectorResumesSessionFromHiddenConnection[setup = PSK-sync-master],4,654,104,9,1,0.09,241,5688,1,0.00,0.00
org.eclipse.californium.scandium.config.DtlsConnectorConfigTest.testAntiReplayFilterDefault,1,34,13,4,4,0.50,12,419,1,0.00,0.00
org.eclipse.californium.oscore.HashMapCtxDBTest.testAddGetContextRidMultipleFail,2,11,4,2,2,0.33,29,186,1,0.00,0.00
org.eclipse.californium.scandium.dtls.cipher.CbcBlockCipherTest.testPaddingCheck[10],0,3,2,2,1,1.00,40,13,1,0.00,0.00
org.eclipse.californium.osgi.ManagedServerTest.testSecureEndpointRequiresSecureEndpointFactory,1,2,1,1,1,0.95,34,33,1,0.00,0.00
org.eclipse.californium.elements.util.NetworkInterfacesUtilTest.testIsAny,0,3,1,1,1,0.04,8,114,1,0.00,0.00
org.eclipse.californium.elements.util.LeastRecentlyUsedCacheTest.testIteratorTimestamped,2,23,5,1,1,0.54,72,126,1,0.00,0.00
org.eclipse.californium.elements.util.NamedThreadFactoryTest.testDaemonThreadGroup,1,3,1,1,1,0.45,25,16,1,0.00,0.00
org.eclipse.californium.core.test.lockstep.BlockwiseClientSideTest.testSimpleAtomicBlockwisePUTWithBiggerNegotiation,9,380,67,7,4,0.09,447,2691,0,0.00,0.00
org.eclipse.californium.elements.util.CertPathUtilTest.testServerCertificateValidationWithAmbiguousTrust,0,15,5,1,1,0.51,80,254,1,0.00,0.00
org.eclipse.californium.scandium.dtls.RecordDecryptTest.testEncrypDecryptFragmentCombiFailure[ciphersuite = TLS_ECDHE_ECDSA_WITH_AES_128_CCM_8],5,96,24,3,2,0.32,78,585,1,0.00,0.00
org.eclipse.californium.scandium.dtls.CookieGeneratorTest.testCookieGeneratorGeneratesDifferentCookie,2,67,23,4,1,0.06,22,425,1,0.00,0.00
org.eclipse.californium.elements.UDPConnectorTest.testMessageCallbackOnError,2,32,15,4,1,0.22,313,313,1,0.00,0.00
org.eclipse.californium.core.multicast.MulticastTest.clientMulticastChangePort,2,364,74,10,1,0.03,82,2871,0,0.00,0.00
org.eclipse.californium.core.server.ServerSerializationTest.testSaveAndLoadWithNonePersistentConnector,2,65,21,6,1,0.15,90,728,0,0.00,0.00
org.eclipse.californium.scandium.dtls.ServerHelloTest.testGetMessageLengthEqualsSerializedMessageLength,4,24,12,2,1,0.12,16,126,1,0.00,0.00
org.eclipse.californium.elements.util.DatagramWriterTest.testWriteTooLargeNegativeValue,1,2,1,1,1,0.86,10,28,1,0.00,0.00
org.eclipse.californium.core.network.UdpMatcherTest.testExchangeCompletionHandlerIsNotRegisteredOnUnsentRequests,5,20,9,4,4,0.30,61,230,1,0.00,0.00
org.eclipse.californium.core.network.deduplication.DeduplicatorTest.testReplacePreviousSecondTime[deduplicator = PEERS_MARK_AND_SWEEP],2,19,9,4,3,0.15,19,223,0,0.00,0.00
org.eclipse.californium.scandium.dtls.cipher.CbcBlockCipherTest.testDifferentKey[10],0,22,6,2,1,0.57,26,121,1,0.00,0.00
org.eclipse.californium.core.server.ServerSerializationTest.testSaveAndLoadWithFormatMigration,2,65,21,6,1,0.15,111,728,0,0.00,0.00
org.eclipse.californium.scandium.dtls.cipher.CbcBlockCipherTest.testAes256and128CryptionFails[8],0,22,6,2,1,0.57,25,121,1,0.00,0.00
org.eclipse.californium.elements.util.Base64Test.testEncodeBytesRecognizesNoPaddingOption[0],0,5,1,1,1,0.01,12,86,1,0.00,0.00
org.eclipse.californium.elements.util.StringUtilTest.testHex2CharArrayWithNull,0,1,1,1,1,1.00,5,19,1,0.00,0.00
org.eclipse.californium.scandium.dtls.ServerNameExtensionTest.testDoubleServerNameType,0,6,2,1,1,0.63,11,27,1,0.00,0.00
org.eclipse.californium.elements.config.ConfigurationTest.testConfigurationAddModuleTwice,0,2,1,1,1,0.19,47,16,1,0.00,0.00
org.eclipse.californium.elements.util.LeastRecentlyUsedCacheTest.testGetSucceedsEvenExpired,1,14,3,1,1,0.48,36,87,1,0.00,0.00
org.eclipse.californium.proxy2.http.CrossProtocolTranslatorTest.testCoapOptionsLocation,4,19,2,1,1,0.32,22,325,1,0.00,0.00
org.eclipse.californium.elements.util.StringUtilTest.testHex2CharArray,0,1,1,1,1,1.00,5,19,1,0.00,0.00
org.eclipse.californium.core.test.lockstep.ObserveServerSideTest.testRejectPreviousNON,6,313,58,9,1,0.07,430,2108,0,0.00,0.00
org.eclipse.californium.scandium.ClusterMacTest.testSmallRecordWithOffsetClusterMac,0,12,8,3,1,0.65,28,71,0,0.00,0.00
org.eclipse.californium.elements.util.CertPathUtilTest.testServerLargeCertificateValidationTruncatedWithTrust,0,14,5,1,1,0.53,70,244,1,0.00,0.00
org.eclipse.californium.core.test.OptionTest.testIsElective,0,1,1,1,1,1.00,24,1,0,0.00,0.00
org.eclipse.californium.elements.tcp.netty.TlsCorrelationTest.testClientSideTrustAllServerSelfSigned,2,34,16,1,1,0.15,130,369,0,0.00,0.00
org.eclipse.californium.scandium.dtls.DTLSContextTest.testLowerSequenceNumberIsNotNewer,4,56,12,3,2,0.55,48,262,1,0.00,0.00
org.eclipse.californium.scandium.dtls.RecordDecryptTest.testEncrypDecrypt[ciphersuite = TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA],4,93,19,3,2,0.36,39,507,1,0.00,0.00
org.eclipse.californium.scandium.config.DtlsConnectorConfigTest.testBuilderFailsWithDefaultConfiguration,0,11,4,1,1,0.64,11,305,1,0.00,0.00
org.eclipse.californium.core.coap.MediaTypeRegistryTest.testParse,0,7,2,1,1,0.10,6,96,1,0.00,0.00
org.eclipse.californium.core.network.CoapEndpointTest.testStandardSchemeIsSetOnIncomingRequest,1,137,41,6,3,0.10,65,1132,1,0.00,0.00
org.eclipse.californium.core.test.ClientAsynchronousTest.testAsyncPostUpdatesResource,1,345,64,9,1,0.02,62,2453,0,0.00,0.00
org.eclipse.californium.scandium.dtls.ReassemblingHandshakeMessageTest.testReassembleFragmentedHandshakeMessagesUnordered,2,15,5,1,1,0.59,32,98,1,0.00,0.00
org.eclipse.californium.scandium.dtls.cipher.CbcBlockCipherTest.testDifferentKey[8],0,22,6,2,1,0.57,26,121,1,0.00,0.00
org.eclipse.californium.elements.util.SslContextUtilCredentialsTest.testLoadPemPublicKeyEd448,0,3,2,1,1,0.00,1,23,0,0.00,0.00
org.eclipse.californium.core.test.ObserveTest.testNonObserveDefaultMessageType,8,490,96,11,1,0.06,212,3695,0,0.00,0.00
org.eclipse.californium.elements.util.DatagramWriterTest.testWriteLongTooLargeNegativeValue,1,2,1,1,1,0.86,10,28,1,0.00,0.00
org.eclipse.californium.core.coap.CoapTest.testIsSecureScheme,0,1,1,1,1,1.00,8,2,0,0.00,0.00
org.eclipse.californium.oscore.OSSerializerTest.testserializeAADCtxNull,1,7,3,2,2,0.00,10,145,0,0.00,0.00
org.eclipse.californium.core.network.stack.BlockwiseLayerTest.testReceiveRequestRejectsExcessiveRequestBody,2,36,11,4,3,0.33,55,320,1,0.00,0.00
org.eclipse.californium.oscore.ByteIdTest.testConstructor,0,0,0,0,0,0.00,9,0,0,0.00,0.00
org.eclipse.californium.scandium.dtls.SignatureAndHashAlgorithmTest.testEnsureSignatureAlgorithm,0,12,5,3,2,0.32,12,88,1,0.00,0.00
org.eclipse.californium.scandium.dtls.DTLSSessionTest.testReloadEcdsaEd25519Session,3,71,21,4,3,0.25,41,507,1,0.00,0.00
org.eclipse.californium.scandium.dtls.RecordDecryptTest.testEncrypDecryptRecordBytesFailure[ciphersuite = TLS_ECDHE_ECDSA_WITH_AES_256_CCM],5,93,24,3,2,0.33,56,602,1,0.00,0.00
org.eclipse.californium.core.test.OptionTest.testToString,1,60,8,1,1,0.17,22,390,1,0.00,0.00
org.eclipse.californium.scandium.dtls.RecordDecryptTest.testEncrypDecryptRecordCombiFailure[ciphersuite = TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256],4,92,19,3,2,0.36,66,514,1,0.00,0.00
org.eclipse.californium.elements.util.SslContextUtilCredentialsTest.testLoadCredentialsNoFile,0,4,2,1,1,0.00,1,46,1,0.00,0.00
org.eclipse.californium.scandium.dtls.cipher.CbcBlockCipherTest.testAes256ShaCryption[4],0,22,6,2,1,0.57,26,115,1,0.00,0.00
org.eclipse.californium.core.network.InMemoryMessageExchangeStoreTest.testShouldNotCreateInMemoryMessageExchangeStoreWithoutTokenProvider,1,14,6,3,2,0.29,37,183,1,0.00,0.00
org.eclipse.californium.scandium.dtls.RecordDecryptTest.testEncrypDecryptRecordCombiFailure[ciphersuite = TLS_ECDHE_ECDSA_WITH_AES_256_CCM_8],5,93,24,3,2,0.33,66,602,1,0.00,0.00
org.eclipse.californium.core.test.MaliciousClientTest.testConRequestWithTooLongUri,3,120,23,3,2,0.06,46,826,0,0.00,0.00
org.eclipse.californium.scandium.dtls.cipher.CCMBlockCipherTest.testTooShortNonce[1],0,5,3,2,1,0.06,27,68,1,0.00,0.00
org.eclipse.californium.elements.util.StringUtilTest.testBase64CharArray2ByteArray,0,5,2,1,1,0.22,5,83,1,0.00,0.00
org.eclipse.californium.core.test.MemoryLeakingHashMapTest.testBlockwiseUsingPiggyBacking,2,445,66,10,1,0.03,174,3170,0,0.00,0.00
org.eclipse.californium.scandium.config.DtlsConnectorConfigTest.testAntiReplayFilterDefaultWithWindowFilter,1,35,13,4,4,0.50,13,421,1,0.00,0.00
org.eclipse.californium.elements.TlsEndpointContextMatcherTest.testWithoutConnectorEndpointContext,2,11,6,1,1,0.00,63,71,0,0.00,0.00
org.eclipse.californium.scandium.dtls.cipher.CCMBlockCipherTest.testAES256and128CryptionFails[2],0,12,6,2,1,0.04,28,133,1,0.00,0.00
org.eclipse.californium.core.coap.RequestTest.testSetURIDoesNotSetUriHostOptionForIp6Address,0,18,4,1,1,0.14,5,162,1,0.00,0.00
org.eclipse.californium.core.server.ServerSerializationTest.testEncryptedSaveLoadAndSkip,2,69,22,6,1,0.14,91,742,0,0.00,0.00
org.eclipse.californium.scandium.dtls.SignatureAndHashAlgorithmTest.testValueOf,0,11,7,2,1,0.52,8,82,1,0.00,0.00
org.eclipse.californium.elements.util.SslContextUtilCredentialsTest.testLoadCredentialsNoKeyPassword,0,2,1,1,1,0.00,1,47,1,0.00,0.00
org.eclipse.californium.elements.util.SslContextUtilCredentialsTest.testLoadCredentialsWrongStorePassword,0,5,2,1,1,0.00,1,56,1,0.00,0.00
org.eclipse.californium.scandium.config.DtlsConnectorConfigTest.testBuildSignatureAndHashAlgorithmsX509,1,83,20,5,3,0.03,13,753,1,0.00,0.00
org.eclipse.californium.proxy2.http.CrossProtocolTranslatorTest.testNullCoapCode,4,18,1,1,1,0.00,10,233,0,0.00,0.00
org.eclipse.californium.core.network.deduplication.PeersBasedDeduplicatorTest.testLimitMessagesPerPeer,2,22,10,4,3,0.21,59,215,0,0.00,0.00
org.eclipse.californium.elements.util.SerializationUtilTest.testSkipItems,2,37,5,1,1,0.22,40,277,1,0.00,0.00
org.eclipse.californium.core.coap.LinkFormatTest.testParse,0,5,2,2,1,0.77,9,54,1,0.00,0.00
org.eclipse.californium.elements.util.Asn1DerDecoderTest.testSequenceEntityDecoder,1,14,4,1,1,0.01,5,126,1,0.00,0.00
org.eclipse.californium.oscore.HashMapCtxDBTest.testAddGetContextRidMultipleSuccess,2,15,4,2,2,0.27,27,227,1,0.00,0.00
org.eclipse.californium.elements.auth.X509CertPathIdentityTest.testConstructorCreatesEd25519ChainFromBytes,0,15,7,2,2,0.45,38,112,1,0.00,0.00
org.eclipse.californium.scandium.dtls.cipher.CCMBlockCipherTest.testDifferentNonce[2],0,12,6,2,1,0.04,29,133,1,0.00,0.00
org.eclipse.californium.elements.util.CertPathUtilTest.testServerCertificateValidationTruncatedWithTrust,0,14,5,1,1,0.53,70,244,1,0.00,0.00
org.eclipse.californium.core.test.ClientAsynchronousTest.testAsyncPutIsNotAllowed,1,379,75,9,1,0.01,55,2907,0,0.00,0.00
org.eclipse.californium.core.test.MemoryLeakingHashMapTest.testSimpleNONGet,1,321,56,10,1,0.04,167,2339,0,0.00,0.00
org.eclipse.californium.elements.util.SslContextUtilTrustTest.testLoadTrustedCertificatesWrongPassword,0,5,2,1,1,0.00,1,56,1,0.00,0.00
org.eclipse.californium.core.test.SmallServerClientTest.testNonconfirmable,4,347,68,8,1,0.06,60,2710,0,0.00,0.00
org.eclipse.californium.scandium.dtls.cipher.CbcBlockCipherTest.testAes256Sha384ryption[5],0,22,6,2,1,0.57,26,115,1,0.00,0.00
org.eclipse.californium.proxy2.http.CrossProtocolTranslatorTest.testCoapOptionsIfNoneMatch,4,19,2,1,1,0.32,13,325,1,0.00,0.00
org.eclipse.californium.elements.util.NetworkInterfacesUtilTest.testGetNetworkInterfaces,0,5,3,1,1,0.42,30,56,1,0.00,0.00
org.eclipse.californium.core.coap.UriQueryParameterTest.testGetArgumentAsLong,1,4,1,1,1,0.17,8,33,1,0.00,0.00
org.eclipse.californium.scandium.dtls.cipher.CbcBlockCipherTest.testAes256and128CryptionFails[6],0,22,6,2,1,0.57,25,121,1,0.00,0.00
org.eclipse.californium.elements.util.CertPathUtilTest.testServerCertificateValidationWithRootTrust,0,15,5,1,1,0.51,73,253,1,0.00,0.00
org.eclipse.californium.elements.util.SslContextUtilCredentialsTest.testLoadPemPrivateKeyEd448,0,3,2,1,1,0.00,1,23,0,0.00,0.00
org.eclipse.californium.scandium.dtls.PskPublicInformationTest.testPublicInformationEquals,1,0,0,0,0,0.00,9,4,0,0.00,0.00
org.eclipse.californium.oscore.OSCoreTest.testEncryptedNoOptionsNoPayload,2,63,15,2,2,0.00,21,622,0,0.00,0.00
org.eclipse.californium.scandium.DTLSConnectorAdvancedTest.testServerPskDoubleResponse[cid = null],7,628,115,8,1,0.05,372,4901,1,0.00,0.00
org.eclipse.californium.elements.util.LeastRecentlyUsedCacheTest.testFindUniqueSucceedsEvenExpired,1,15,3,1,1,0.38,37,92,1,0.00,0.00
org.eclipse.californium.elements.auth.PreSharedKeyIdentityTest.testEqualsFails,2,3,2,1,1,0.90,7,46,1,0.00,0.00
org.eclipse.californium.scandium.config.DtlsConnectorConfigTest.testGetCertificateChainReturnsNullForRpkOnlyConfiguration,1,74,21,5,3,0.03,15,651,1,0.00,0.00
