TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,NKM,NSM,dNKM,dNSM,MutationScore,dMutationScore
org.eclipse.californium.elements.auth.PreSharedKeyIdentityTest.testConstructorRejectsIllegalHostName,0,2,2,2,2,0,1,36,0,2,3,1,0,0.4,1
org.eclipse.californium.elements.auth.PreSharedKeyIdentityTest.testEqualsDetectsNonMatchingVirtualHost,1,4,3,2,2,0.69,6,47,1,6,9,0,4,0.4,0
org.eclipse.californium.elements.auth.PreSharedKeyIdentityTest.testEqualsFails,2,3,2,1,1,0.9,7,46,1,6,6,2,1,0.5,0.67
org.eclipse.californium.elements.auth.PreSharedKeyIdentityTest.testEqualsSucceeds,1,4,3,2,2,0.69,6,47,1,6,9,1,3,0.4,0.25
org.eclipse.californium.elements.auth.RawPublicKeyIdentityTest.testConstructorCreatesEcPublicKeyFromSubjectInfo,2,52,13,2,2,0.04,67,630,1,90,180,1,17,0.33,0.06
org.eclipse.californium.elements.auth.RawPublicKeyIdentityTest.testConstructorCreatesEd25519PublicKeyFromSubjectInfo,2,32,11,2,2,0.08,38,328,1,90,113,1,6,0.44,0.14
org.eclipse.californium.elements.auth.RawPublicKeyIdentityTest.testConstructorCreatesEd448PublicKeyFromSubjectInfo,0,0,0,0,0,0,1,0,0,89,188,0,20,0.32,0
org.eclipse.californium.elements.auth.RawPublicKeyIdentityTest.testGetNameReturnsNamedInterfaceUri,1,8,3,2,2,0.01,12,115,1,25,50,1,4,0.33,0.2
org.eclipse.californium.elements.auth.RawPublicKeyIdentityTest.testGetSubjectInfoReturnsEncodedKey,1,9,3,2,2,0.02,4,116,1,25,50,1,4,0.33,0.2
org.eclipse.californium.elements.auth.X509CertPathIdentityTest.testConstructorCreatesEcChainFromBytes,0,15,7,2,2,0.45,37,112,0,43,40,5,7,0.52,0.42
org.eclipse.californium.elements.auth.X509CertPathIdentityTest.testConstructorCreatesEd25519ChainFromBytes,0,15,7,2,2,0.45,38,112,0,43,40,5,7,0.52,0.42
org.eclipse.californium.elements.auth.X509CertPathIdentityTest.testGetCNReturnsCN,0,29,11,2,2,0.04,4,251,0,55,67,5,7,0.45,0.42
org.eclipse.californium.elements.auth.X509CertPathIdentityTest.testGetNameReturnsNamedInterfaceUri,0,7,4,2,2,0.19,4,68,0,17,24,5,6,0.41,0.45
org.eclipse.californium.elements.auth.X509CertPathIdentityTest.testGetTargetReturnsFirstCertificate,0,8,4,2,2,0.18,4,70,0,17,24,5,6,0.41,0.45
org.eclipse.californium.elements.config.ConfigurationTest.testConfigurationAddModule,0,21,8,2,1,0.1,54,94,1,14,24,1,4,0.37,0.2
org.eclipse.californium.elements.config.ConfigurationTest.testConfigurationAddModuleEmpty,0,1,1,1,1,0,42,13,1,1,3,1,1,0.25,0.5
org.eclipse.californium.elements.config.ConfigurationTest.testConfigurationAddModuleNull,0,1,1,1,1,0,42,13,1,1,2,1,0,0.33,1
org.eclipse.californium.elements.config.ConfigurationTest.testConfigurationAddModuleNull2,0,1,1,1,1,0,40,13,1,0,2,0,0,0,0
org.eclipse.californium.elements.config.ConfigurationTest.testConfigurationAddModuleTwice,0,2,1,1,1,0.19,47,16,1,1,7,1,2,0.12,0.33
org.eclipse.californium.elements.config.ConfigurationTest.testConfigurationBoolean,0,19,8,2,1,0.09,66,78,1,11,16,0,0,0.41,0
org.eclipse.californium.elements.config.ConfigurationTest.testConfigurationCustomModule,0,57,18,3,1,0.16,88,463,1,49,109,3,11,0.31,0.21
org.eclipse.californium.elements.config.ConfigurationTest.testConfigurationEnum,1,50,12,3,1,0.16,53,426,1,116,7,6,0,0.94,1
org.eclipse.californium.elements.config.ConfigurationTest.testConfigurationEnumFailure,1,17,9,2,1,0.07,44,124,1,4,31,0,3,0.11,0
org.eclipse.californium.elements.config.ConfigurationTest.testConfigurationEnumList,1,50,13,3,1,0.16,72,450,1,121,6,4,0,0.95,1
org.eclipse.californium.elements.config.ConfigurationTest.testConfigurationEnumListAsText,1,27,11,2,1,0.13,59,207,1,52,6,5,0,0.9,1
org.eclipse.californium.elements.config.ConfigurationTest.testConfigurationEnumListAsTextWithFailure,1,23,11,2,1,0.13,51,191,1,2,40,0,3,0.05,0
org.eclipse.californium.elements.config.ConfigurationTest.testConfigurationEnumListWithEmptyListFailure,1,19,11,2,1,0.03,45,146,1,2,31,0,1,0.06,0
org.eclipse.californium.elements.config.ConfigurationTest.testConfigurationInvalidInteger,0,14,8,2,1,0.09,55,100,1,5,15,2,1,0.25,0.67
org.eclipse.californium.elements.config.ConfigurationTest.testConfigurationStringSet,1,55,13,3,1,0.15,50,433,1,111,6,3,0,0.95,1
org.eclipse.californium.elements.config.ConfigurationTest.testConfigurationStringSetDefault,1,53,13,3,1,0.16,57,425,1,103,7,3,0,0.94,1
org.eclipse.californium.elements.config.ConfigurationTest.testConfigurationStringSetFailure,1,17,10,2,1,0.07,44,124,1,3,29,0,1,0.09,0
org.eclipse.californium.elements.config.ConfigurationTest.testConfigurationTime,1,40,10,3,1,0.18,50,370,1,131,5,7,0,0.96,1
org.eclipse.californium.elements.config.ConfigurationTest.testConfigurationTransientTime,1,41,10,3,1,0.19,51,374,1,60,8,2,0,0.88,1
