TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,NKM,NSM,dNKM,dNSM,MutationScore,dMutationScore
redis.clients.jedis.ACLJedisPoolTest.allowUrlWithNoDBAndNoPassword,2,28,4,2,1,0.03,4,145,0,0,0,0,0,0,0
redis.clients.jedis.ACLJedisPoolTest.checkCloseableConnections,1,105,21,3,1,0.04,8,609,0,0,0,0,0,0,0
redis.clients.jedis.ACLJedisPoolTest.checkConnections,2,105,21,3,1,0.04,8,613,0,0,0,0,0,0,0
redis.clients.jedis.ACLJedisPoolTest.checkPoolOverflow,1,87,18,3,1,0.04,10,540,0,154,137,2,12,0.53,0.14
redis.clients.jedis.ACLJedisPoolTest.checkPoolRepairedWhenJedisIsBroken,2,106,22,3,1,0.04,10,596,0,162,137,2,12,0.54,0.14
redis.clients.jedis.ACLJedisPoolTest.checkResourceIsClosableAndReusable,1,106,21,3,1,0.04,13,599,0,0,0,0,0,0,0
redis.clients.jedis.ACLJedisPoolTest.checkResourceWithConfigIsClosableAndReusable,1,104,22,3,1,0.06,16,592,0,0,0,0,0,0,0
redis.clients.jedis.ACLJedisPoolTest.customClientName,2,98,19,3,1,0.04,5,583,0,160,132,2,12,0.55,0.14
redis.clients.jedis.ACLJedisPoolTest.customClientNameNoSSL,2,98,19,3,1,0.04,5,583,0,155,137,2,12,0.53,0.14
redis.clients.jedis.ACLJedisPoolTest.nonDefaultDatabase,3,110,21,3,1,0.04,9,624,0,163,136,2,12,0.55,0.14
redis.clients.jedis.ACLJedisPoolTest.securePool,2,102,21,3,1,0.04,9,584,0,0,0,0,0,0,0
redis.clients.jedis.ACLJedisPoolTest.securePoolNonSSL,2,102,21,3,1,0.04,9,584,0,0,0,0,0,0,0
redis.clients.jedis.ACLJedisPoolTest.selectDatabaseOnActivation,2,92,18,3,1,0.05,12,547,0,0,0,0,0,0,0
redis.clients.jedis.ACLJedisPoolTest.shouldThrowInvalidURIExceptionForInvalidURI,0,2,1,1,1,0,1,20,0,0,0,0,0,0,0
redis.clients.jedis.ACLJedisPoolTest.startWithUrl,2,117,22,3,1,0.05,12,670,0,0,0,0,0,0,0
redis.clients.jedis.ACLJedisPoolTest.startWithUrlString,2,117,22,3,1,0.05,9,672,0,175,141,5,13,0.55,0.28
redis.clients.jedis.ACLJedisPoolTest.testCloseConnectionOnMakeObject,3,92,19,3,1,0.03,13,620,0,0,0,0,0,0,0
redis.clients.jedis.ACLJedisPoolTest.testResetInvalidPassword,3,110,21,3,1,0.04,20,651,0,162,137,2,12,0.54,0.14
redis.clients.jedis.ACLJedisPoolTest.testResetValidPassword,3,110,21,3,1,0.04,13,651,0,0,0,0,0,0,0
redis.clients.jedis.ACLJedisSentinelPoolTest.checkCloseableConnections,1,139,26,3,1,0.03,16,854,0,164,191,3,11,0.46,0.21
redis.clients.jedis.ACLJedisSentinelPoolTest.checkResourceIsCloseable,1,137,26,3,1,0.03,18,851,0,167,191,3,11,0.47,0.21
redis.clients.jedis.ACLJedisSentinelPoolTest.customClientName,1,129,24,3,1,0.03,17,820,0,159,190,3,11,0.46,0.21
redis.clients.jedis.ACLJedisSentinelPoolTest.initializeWithNotAvailableSentinelsShouldThrowException,0,56,14,3,1,0.04,17,427,0,133,129,2,1,0.51,0.67
redis.clients.jedis.ACLJedisSentinelPoolTest.initializeWithNotMonitoredMasterNameShouldThrowException,0,73,18,3,1,0.06,17,486,0,153,155,3,7,0.5,0.3
redis.clients.jedis.ACLJedisSentinelPoolTest.repeatedSentinelPoolInitialization,1,127,23,3,1,0.03,14,849,0,158,189,3,10,0.46,0.23
redis.clients.jedis.ACLJedisSentinelPoolTest.repeatedSentinelPoolInitializationWithConfig,1,123,23,3,1,0.05,18,830,0,158,190,3,11,0.45,0.21
redis.clients.jedis.ACLJedisSentinelPoolTest.returnResourceShouldResetState,1,154,29,3,1,0.03,21,937,0,174,205,4,14,0.46,0.22
redis.clients.jedis.ACLJedisTest.allowUrlWithNoDBAndNoPassword,2,71,16,3,1,0.07,15,453,0,0,0,0,0,0,0
redis.clients.jedis.ACLJedisTest.connectWithConfig,1,64,15,3,1,0.09,15,408,0,114,104,1,4,0.52,0.2
redis.clients.jedis.ACLJedisTest.connectWithConfigInterface,1,74,16,3,1,0.08,18,417,0,0,0,0,0,0,0
redis.clients.jedis.ACLJedisTest.connectWithURICredentials,2,88,19,3,1,0.06,16,527,0,0,0,0,0,0,0
redis.clients.jedis.ACLJedisTest.startWithUri,3,94,19,3,1,0.08,16,557,0,0,0,0,0,0,0
redis.clients.jedis.ACLJedisTest.startWithUrl,3,94,19,3,1,0.08,16,559,0,0,0,0,0,0,0
redis.clients.jedis.ACLJedisTest.useWithoutConnecting,2,65,15,3,1,0.08,12,444,0,111,107,1,4,0.51,0.2
redis.clients.jedis.BuilderTest.buildDouble,0,3,3,2,1,0,10,9,0,7,2,0,0,0.78,0
redis.clients.jedis.ClusterPipeliningTest.canRetrieveUnsetKey,3,120,30,4,1,0.08,59,737,0,0,0,0,0,0,0
redis.clients.jedis.ClusterPipeliningTest.clusterPipelineGeo,8,182,43,6,1,0.11,109,942,0,0,0,0,0,0,0
redis.clients.jedis.ClusterPipeliningTest.clusterPipelineHash,3,159,38,4,1,0.09,100,805,0,0,0,0,0,0,0
redis.clients.jedis.ClusterPipeliningTest.clusterPipelineHyperLogLog,3,127,32,4,1,0.08,67,741,0,0,0,0,0,0,0
redis.clients.jedis.ClusterPipeliningTest.clusterPipelineList,4,169,39,5,1,0.1,97,818,0,0,0,0,0,0,0
redis.clients.jedis.ClusterPipeliningTest.clusterPipelineSet,3,153,36,4,1,0.09,103,793,0,0,0,0,0,0,0
redis.clients.jedis.ClusterPipeliningTest.clusterPipelineSort,4,135,34,5,1,0.09,78,768,0,0,0,0,0,0,0
redis.clients.jedis.ClusterPipeliningTest.clusterPipelineSortedSet,5,174,41,6,1,0.1,105,856,0,0,0,0,0,0,0
redis.clients.jedis.ClusterPipeliningTest.clusterPipelineStream,5,154,39,6,1,0.09,85,852,0,0,0,0,0,0,0
redis.clients.jedis.ClusterPipeliningTest.clusterPipelineStringsAndBits,4,152,36,5,1,0.09,88,784,0,0,0,0,0,0,0
redis.clients.jedis.ClusterPipeliningTest.clusterPipelineSync,3,123,31,4,1,0.08,69,740,0,0,0,0,0,0,0
redis.clients.jedis.ClusterPipeliningTest.constructorClientConfig,2,132,31,4,1,0.08,68,784,0,0,0,0,0,0,0
redis.clients.jedis.ClusterPipeliningTest.constructorPoolConfig,2,132,31,4,1,0.08,68,782,0,0,0,0,0,0,0
redis.clients.jedis.ClusterPipeliningTest.getSetParams,4,129,34,5,1,0.08,71,770,0,0,0,0,0,0,0
redis.clients.jedis.ClusterPipeliningTest.pipelineBinarySafeHashCommands,4,161,39,5,1,0.07,93,946,0,0,0,0,0,0,0
redis.clients.jedis.ClusterPipeliningTest.pipelineResponse,4,199,43,5,1,0.08,97,1012,0,0,0,0,0,0,0
redis.clients.jedis.ClusterPipeliningTest.pipelineResponseWithinPipeline,3,116,30,4,1,0.06,59,703,0,0,0,0,0,0,0
redis.clients.jedis.ClusterPipeliningTest.pipelineWithPubSub,3,118,29,4,1,0.08,61,728,0,0,0,0,0,0,0
redis.clients.jedis.ClusterPipeliningTest.piplineWithError,3,127,31,4,1,0.08,65,779,0,0,0,0,0,0,0
redis.clients.jedis.ClusterPipeliningTest.testEval,3,117,29,4,1,0.08,60,736,0,0,0,0,0,0,0
redis.clients.jedis.ClusterPipeliningTest.testEvalKeyAndArg,3,128,31,4,1,0.08,68,750,0,0,0,0,0,0,0
redis.clients.jedis.ClusterPipeliningTest.testEvalKeyAndArgWithBinary,3,129,31,4,1,0.09,71,777,0,0,0,0,0,0,0
redis.clients.jedis.ClusterPipeliningTest.testEvalNestedLists,3,122,31,4,1,0.08,63,737,0,0,0,0,0,0,0
redis.clients.jedis.ClusterPipeliningTest.testEvalNestedListsWithBinary,3,119,30,4,1,0.09,64,730,0,0,0,0,0,0,0
redis.clients.jedis.ClusterPipeliningTest.testEvalsha,4,154,37,5,1,0.07,63,912,0,0,0,0,0,0,0
redis.clients.jedis.ClusterPipeliningTest.testEvalshaKeyAndArg,4,159,36,5,1,0.07,71,924,0,0,0,0,0,0,0
redis.clients.jedis.ClusterPipeliningTest.testEvalshaKeyAndArgWithBinary,4,157,35,5,1,0.07,72,927,0,0,0,0,0,0,0
