TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,MutationScore,disjointMutationScore
com.google.inject.spi.BindingSourceRestrictionTest.multipleNestedBinders,1,345,95,8,1,0.00,29,2193,1,0.00,0.00
com.google.inject.PrivateModuleTest.testSpiAccess,1,303,93,7,1,0.01,40,1889,1,0.00,0.00
com.google.inject.RestrictedBindingSourceTest.rogueBindingByMethodScannerDenied,1,352,98,7,1,0.00,15,2338,0,0.00,0.00
com.google.inject.spi.ElementsTest.testModulesAreInstalledAtMostOnce,1,39,14,5,1,0.01,16,300,1,0.00,0.00
com.google.inject.ScopesTest.testScopingAnnotationsOnAbstractTypeViaProvidedBy,0,234,76,6,1,0.00,31,1562,0,0.00,0.00
com.google.inject.ProvisionExceptionsTest.testProviderMethodRuntimeException,1,450,124,7,1,0.01,34,3074,1,0.00,0.00
com.google.inject.spi.ElementsTest.testAddThrowableErrorCommand,2,61,23,5,1,0.02,42,401,1,0.00,0.00
com.google.inject.RestrictedBindingSourceTest.nonExemptModuleCantCreateRestrictedBinding,1,340,96,7,1,0.00,7,2358,0,0.00,0.00
com.google.inject.JitBindingsTest.testMembersInjectorsCanBeInjected,1,345,99,7,1,0.00,11,2327,0,0.00,0.00
com.google.inject.grapher.TransitiveDependencyVisitorTest.testVisitProviderKey,1,1,1,1,1,1.00,16,2,1,0.00,0.00
com.google.inject.spi.InjectorSpiTest.testGetElements_membersInjectorLookup,3,283,89,6,1,0.00,22,1823,0,0.00,0.00
com.google.inject.throwingproviders.ThrowingProviderTest.testBindingToInterfaceWithBoundValueType_Bind,0,32,10,1,1,0.06,41,255,0,0.00,0.00
com.google.inject.TypeLiteralTypeResolutionTest.testGenericSupertype,0,22,4,3,1,0.04,26,189,1,0.00,0.00
com.google.inject.spi.ToolStageInjectorTest.testToolStageInjectsTooledMethods,1,362,108,7,1,0.00,18,2622,0,0.00,0.00
com.google.inject.BinderTest.testUserReportedErrorsAreAlsoLogged,2,135,48,6,1,0.00,33,991,0,0.00,0.00
com.google.inject.KotlinSupportDoesNotBreakJavaTest.testConstructorInjection,1,352,112,7,1,0.00,12,2425,1,0.00,0.00
com.google.inject.spi.ElementApplyToTest.testBindToMalformedConstructor,2,150,42,5,1,0.01,59,943,0,0.00,0.00
com.google.inject.grapher.AbstractInjectorGrapherTest.testGraphWithGivenRoot,5,46,17,1,1,0.06,47,207,1,0.00,0.00
com.google.inject.spi.ElementsTest.testRequestInjection,2,59,18,5,1,0.02,46,422,1,0.00,0.00
com.google.inject.testing.fieldbinder.BoundFieldModuleTest.testIncrementingProvider,0,14,2,1,1,0.01,13,121,1,0.00,0.00
com.google.inject.ScopesTest.testInjectorsDontDeadlockOnSingletons,1,246,81,6,1,0.00,41,1675,1,0.00,0.00
com.google.inject.spi.ElementsTest.testBindScope,2,52,18,5,1,0.02,41,358,1,0.00,0.00
com.google.inject.ProvisionExceptionTest.testDuplicateCausesCollapsed,1,151,54,6,1,0.01,15,1037,0,0.00,0.00
com.google.inject.ScopesTest.testSingletonsInDevelopmentStage,0,344,111,7,1,0.00,29,2399,1,0.00,0.00
com.google.inject.GenericInjectionTest.testInjectingParameterizedDependenciesForBindingSource,2,380,114,7,1,0.00,25,2666,0,0.00,0.00
com.google.inject.util.NoopOverrideTest.testBindWithMultipleTargetsAddsError,2,135,40,5,1,0.01,49,809,0,0.00,0.00
com.google.inject.servlet.ContextPathTest.testWebtestDefault,2,46,15,1,1,0.10,74,361,0,0.00,0.00
com.google.inject.servlet.ServletModuleTest.testServletModuleReuse,0,38,18,1,1,0.02,29,268,1,0.00,0.00
com.google.inject.TypeLiteralTypeResolutionTest.testGetSupertype,1,23,4,3,1,0.04,25,199,1,0.00,0.00
com.google.inject.persist.jpa.EntityManagerProvisionTest.testEntityManagerLifecyclePerTxn2,1,12,5,2,1,0.00,32,95,0,0.00,0.00
com.google.inject.internal.OptionalBinderTest.testSetBinding,1,362,99,7,1,0.02,328,2113,1,0.00,0.00
com.google.inject.spi.ElementsTest.testErrorsAddedWhenExceptionsAreThrown,2,66,23,5,1,0.03,47,418,1,0.00,0.00
com.google.inject.assistedinject.FactoryModuleBuilderTest.testImplicitForwardingAssistedBindingFailsWithAbstractClass,1,10,4,1,1,0.02,12,178,1,0.00,0.00
com.google.inject.BindingTest.testGetAllBindings,2,403,117,7,1,0.00,32,2744,0,0.00,0.00
com.google.inject.DuplicateBindingsTest.testDuplicatesSolelyInChildIgnored,1,428,121,8,1,0.00,21,2830,0,0.00,0.00
com.google.inject.spi.SpiBindingsTest.testToProviderBinding,3,211,69,6,1,0.00,50,1439,0,0.00,0.00
com.google.inject.MethodInterceptionTest.testProviderInterception,1,369,107,7,1,0.00,20,2635,0,0.00,0.00
com.google.inject.CircularDependencyTest.testCircularlyDependentMultipleWays,1,328,105,7,1,0.00,12,2303,1,0.00,0.00
com.google.inject.internal.MapBinderTest.testDeduplicateMapBindings,2,460,112,8,1,0.03,401,2584,1,0.00,0.00
com.google.inject.MembersInjectorTest.testInjectingMembersInjector,1,379,114,7,1,0.00,16,2710,0,0.00,0.00
com.google.inject.throwingproviders.CheckedProviderTest.testExceptionsNotScopedWhenNotExceptionScoping_Bind,0,34,10,1,1,0.06,76,285,0,0.00,0.00
com.google.inject.RestrictedBindingSourceTest.unpermittedModuleCantWithSourceAPermittedModule,1,239,79,6,1,0.00,14,1564,0,0.00,0.00
com.google.inject.grapher.ShortNameFactoryTest.testGetInstanceName_defaultToString,1,2,1,1,1,0.00,7,14,1,0.00,0.00
com.google.inject.BindingTest.testToConstructorAndMethodInterceptors,1,359,105,7,1,0.00,22,2451,0,0.00,0.00
com.google.inject.testing.fieldbinder.BoundFieldModuleTest.testBindingWithValuedBindingAnnotation,0,14,2,1,1,0.01,11,121,1,0.00,0.00
com.google.inject.KeyTest.testNonBindingAnnotationOnKey,0,15,6,2,1,0.00,21,62,1,0.00,0.00
com.google.inject.throwingproviders.CheckedProviderTest.testDependencies_Bind,0,34,9,1,1,0.07,72,262,0,0.00,0.00
com.google.inject.assistedinject.FactoryProviderTest.testMethodsAndFieldsGetInjected,0,26,5,1,1,0.01,22,173,1,0.00,0.00
com.google.inject.internal.WeakKeySetTest.testWeakKeySet_integration,2,245,84,6,1,0.00,46,1668,1,0.00,0.00
com.google.inject.util.TypesTest.testWildcardTypes,0,11,3,2,2,0.03,37,77,1,0.00,0.00
com.google.inject.DuplicateBindingsTest.testHashcodeNeverCalledOnInstance,1,290,98,7,1,0.00,23,2076,0,0.00,0.00
com.google.inject.util.OverrideModuleTest.testOverridesDoesntFixTwiceBoundInOriginal,1,261,87,6,1,0.00,31,1762,0,0.00,0.00
com.google.inject.GenericInjectionTest.testInjectingParameterizedDependenciesForImplicitBinding,2,356,106,7,1,0.00,20,2511,0,0.00,0.00
com.google.inject.EagerSingletonTest.testJustInTimeEagerSingletons_multipleThreads,1,364,108,7,1,0.00,71,2541,0,0.00,0.00
com.google.inject.JitBindingsTest.testProvidedBy,1,352,107,7,1,0.00,65,2414,0,0.00,0.00
