TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,MutationScore,disjointMutationScore
com.google.cloud.spanner.ValueTest.stringArrayTryGetBytesArray,0,12,4,1,1,0.02,5,65,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplTransactionalReadOnlyTest$ConnectionImplTransactionalReadOnlyAfterSetReadOnlyMaxStalenessTest.testGetCommitResponse[dialect = GOOGLE_STANDARD_SQL],2,90,16,2,1,0.08,119,489,1,0.00,0.00
com.google.cloud.spanner.ValueTest.pgNumericInvalid,0,13,4,1,1,0.10,9,61,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplTransactionalReadWriteTest$ConnectionImplTransactionalReadWriteAfterTransactionTest.testExecuteQuery[dialect = GOOGLE_STANDARD_SQL],2,157,35,2,1,0.02,169,930,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplAutocommitReadWriteTest$ConnectionImplAutocommitReadWriteAfterStartDdlBatchTest.testIsTransactionStarted[dialect = POSTGRESQL],2,87,16,2,1,0.04,97,527,1,0.00,0.00
com.google.cloud.spanner.RetryOnInvalidatedSessionTest.asyncTransactionManagerSelect[fail on invalidated session = false],0,223,68,3,1,0.01,521,1422,0,0.00,0.00
com.google.cloud.spanner.AsyncRunnerTest.testAsyncRunner_doesNotReturnCommitTimestampBeforeCommit,0,306,51,5,1,0.02,149,2311,0,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplAutocommitReadWriteTest$ConnectionImplAutocommitReadWriteAfterSelectAndResultSetNextTest.testStartBatchDdl[dialect = POSTGRESQL],2,149,32,2,1,0.02,158,903,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplTransactionalReadOnlyTest$ConnectionImplTransactionalReadOnlyAfterRollbackTest.testRunBatch[dialect = GOOGLE_STANDARD_SQL],2,136,31,2,1,0.02,136,815,1,0.00,0.00
com.google.cloud.spanner.encryption.CustomerManagedEncryptionTest.testFromProto,1,2,1,1,1,0.33,7,12,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplTransactionalReadWriteTest$ConnectionImplTransactionalReadWriteAfterSelectAndResultSetNextTest.testGetOptimizerVersion[dialect = GOOGLE_STANDARD_SQL],2,140,31,2,1,0.02,137,853,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionOptionsTest.testValidEncodedCredentials,1,41,6,2,1,0.13,8,259,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplTransactionalReadOnlyTest$ConnectionImplTransactionalReadOnlyAfterBeginTransactionTest.testBufferedWriteIterable[dialect = GOOGLE_STANDARD_SQL],2,112,26,2,1,0.06,113,621,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplAutocommitReadWriteTest$ConnectionImplAutocommitReadWriteAfterUpdateTest.testBufferedWriteIterable[dialect = POSTGRESQL],3,136,31,2,1,0.04,121,867,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplAutocommitReadOnlyTest$ConnectionImplAutocommitReadOnlyAfterSelectTest.testStartBatchDml[dialect = GOOGLE_STANDARD_SQL],2,123,27,2,1,0.03,135,794,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplTransactionalReadWriteTest$ConnectionImplTransactionalReadWriteAfterRollbackTest.testStartBatchDml[dialect = GOOGLE_STANDARD_SQL],2,169,36,2,1,0.02,179,967,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplAutocommitReadWriteTest$ConnectionImplAutocommitReadWriteNoActionsTest.testSetReadOnlyStaleness[dialect = GOOGLE_STANDARD_SQL],2,98,16,2,1,0.09,115,511,1,0.00,0.00
com.google.cloud.spanner.AsyncResultSetImplStressTest.pauseResume[rows = 0],0,3,2,1,1,0.10,35,13,0,0.00,0.00
com.google.cloud.spanner.SessionClientTests.batchCreateSessionsWithExceptions[NumChannels = 1],1,32,11,1,1,0.22,85,204,0,0.00,0.00
com.google.cloud.spanner.AsyncRunnerImplTest.testRunAsyncFailsIfCalledMultipleTimes,1,4,1,1,1,0.31,12,19,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplTransactionalReadWriteTest$ConnectionImplTransactionalReadWriteInDdlBatchTransactionTest.testSetAutocommit[dialect = POSTGRESQL],2,115,25,2,1,0.03,126,715,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplAutocommitReadWriteTest$ConnectionImplAutocommitReadWriteAfterDdlTest.testRollback[dialect = POSTGRESQL],2,125,27,2,1,0.03,114,798,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplTransactionalReadWriteTest$ConnectionImplTransactionalReadWriteAfterStartDdlBatchTest.testSetAutocommitDmlMode[dialect = POSTGRESQL],2,90,17,2,1,0.04,121,539,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplAutocommitReadWriteTest$ConnectionImplAutocommitReadWriteAfterBeginTransactionTest.testStartBatchDml[dialect = GOOGLE_STANDARD_SQL],2,143,28,2,1,0.03,159,847,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplTransactionalReadOnlyTest$ConnectionImplTransactionalReadOnlyAfterTransactionTest.testSetAutocommit[dialect = POSTGRESQL],2,134,30,2,1,0.02,133,807,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplAutocommitReadWriteTest$ConnectionImplAutocommitReadWriteAfterSelectTest.testExecuteQuery[dialect = POSTGRESQL],2,131,28,2,1,0.03,132,815,1,0.00,0.00
com.google.cloud.spanner.admin.database.v1.DatabaseAdminClientTest.getBackupExceptionTest,0,72,7,2,1,0.02,41,512,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplTransactionalReadWriteTest$ConnectionImplTransactionalReadWriteAfterSelectTest.testGetAutocommitDmlMode[dialect = POSTGRESQL],2,139,31,2,1,0.02,136,848,1,0.00,0.00
com.google.cloud.spanner.AbstractStructReaderTypesTest.getterWhenNull[7: JSON: getJson()=[getValue]],0,9,3,1,1,0.09,16,33,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplAutocommitReadWriteTest$ConnectionImplAutocommitReadWriteNoActionsTest.testBufferedWrite[dialect = POSTGRESQL],2,87,19,2,1,0.08,111,487,1,0.00,0.00
com.google.cloud.spanner.RetryOnInvalidatedSessionTest.asyncTransactionManagerBatchUpdate[fail on invalidated session = true],0,401,72,6,1,0.02,250,2741,0,0.00,0.00
com.google.cloud.spanner.DatabaseClientImplTest.singleUseReadOnlyTransactionNoAction_ClearsCheckedOutSession,0,305,43,5,1,0.02,146,2320,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplTransactionalReadOnlyTest$ConnectionImplTransactionalReadOnlyAfterRollbackTest.testBufferedWrite[dialect = POSTGRESQL],2,148,36,2,1,0.04,135,872,1,0.00,0.00
com.google.cloud.spanner.DatabaseAdminClientImplTest.setDatabaseIAMPolicy,1,7,4,1,1,0.36,22,24,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplAutocommitReadOnlyTest$ConnectionImplAutocommitReadOnlyAfterSelectAndResultSetNextTest.testGetReadTimestamp[dialect = GOOGLE_STANDARD_SQL],2,124,26,2,1,0.02,115,794,1,0.00,0.00
com.google.cloud.spanner.RetryOnInvalidatedSessionTest.readWriteTransactionReadRowUsingIndexInvalidatedDuringTransaction[fail on invalidated session = false],0,210,54,3,1,0.01,382,1386,0,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplAutocommitReadOnlyTest$ConnectionImplAutocommitReadOnlyAfterBeginTransactionTest.testStartBatchDdl[dialect = POSTGRESQL],2,80,15,2,1,0.05,128,461,1,0.00,0.00
com.google.cloud.spanner.MutationTest.toProtoCoalescingDelete,0,14,5,1,1,0.43,34,150,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplTransactionalReadOnlyTest$ConnectionImplTransactionalReadOnlyNoActionsTest.testSetStatementTimeout[dialect = POSTGRESQL],2,87,15,2,1,0.06,125,464,1,0.00,0.00
com.google.cloud.spanner.PartitionTest.readInstance,0,63,16,1,1,0.17,33,311,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplAutocommitReadOnlyTest$ConnectionImplAutocommitReadOnlyAfterTemporaryTransactionTest.testGetTransactionMode[dialect = GOOGLE_STANDARD_SQL],2,135,31,2,1,0.03,134,811,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplTransactionalReadWriteTest$ConnectionImplTransactionalReadWriteAfterSetTransactionReadOnlyTest.testSetTransactionMode[dialect = GOOGLE_STANDARD_SQL],2,81,17,2,1,0.05,104,447,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplTransactionalReadWriteTest$ConnectionImplTransactionalReadWriteNoActionsTest.testGetAutocommitDmlMode[dialect = GOOGLE_STANDARD_SQL],2,76,13,2,1,0.05,102,428,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplAutocommitReadOnlyTest$ConnectionImplAutocommitReadOnlyAfterSetReadOnlyMaxStalenessTest.testClose[dialect = GOOGLE_STANDARD_SQL],2,88,15,2,1,0.08,97,485,1,0.00,0.00
com.google.cloud.spanner.connection.DmlBatchTest.testGetCommitResponseOrNull,1,28,12,2,1,0.25,19,221,1,0.00,0.00
com.google.cloud.spanner.InlineBeginTransactionTest$InlineBeginTransactionWithoutExecutorTest.testReadWithInlineBeginDidNotReturnTransaction,0,418,71,5,1,0.01,358,3005,0,0.00,0.00
com.google.cloud.spanner.InlineBeginTransactionTest$InlineBeginTransactionWithExecutorTest.testAsyncTransactionManagerInlinedBeginTxWithOnlyMutations[executor = java.util.concurrent.Executors$FinalizableDelegatedExecutorService@5a4736b8],0,395,76,5,1,0.01,263,2805,0,0.00,0.00
com.google.cloud.spanner.connection.SetPgSessionCharacteristicsTest.testSetIsolationLevelDefault,1,23,11,2,1,0.12,11,160,0,0.00,0.00
com.google.cloud.spanner.connection.CredentialsServiceTest.testCreateCredentialsFile,1,3,1,1,1,0.43,7,22,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplTransactionalReadWriteTest$ConnectionImplTransactionalReadWriteAfterSelectTest.testSetOptimizerStatisticsPackage[dialect = GOOGLE_STANDARD_SQL],2,140,31,2,1,0.02,139,851,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplAutocommitReadWriteTest$ConnectionImplAutocommitReadWriteAfterDdlTest.testWrite[dialect = POSTGRESQL],3,140,31,2,1,0.04,108,884,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplAutocommitReadOnlyTest$ConnectionImplAutocommitReadOnlyAfterTemporaryTransactionTest.testGetAutocommitDmlMode[dialect = POSTGRESQL],2,134,30,2,1,0.02,125,810,1,0.00,0.00
