TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,MutationScore,disjointMutationScore
redis.clients.jedis.commands.jedis.ClusterCommandsTest.clusterSetSlotImporting,1,59,14,3,1,0.06,18,382,0,0.00,0.00
redis.clients.jedis.commands.jedis.StringValuesCommandsTest.decr,1,73,18,3,1,0.06,11,451,0,0.00,0.00
redis.clients.jedis.commands.unified.pooled.PooledGeoCommandsTest.georadiusBinary,1,84,27,7,1,0.06,36,402,1,0.00,0.00
redis.clients.jedis.commands.unified.pooled.PooledListCommandsTest.brpoplpush,0,81,23,5,1,0.03,49,348,1,0.00,0.00
redis.clients.jedis.commands.jedis.SetCommandsTest.sunionstore,1,96,22,3,1,0.07,57,524,0,0.00,0.00
redis.clients.jedis.commands.unified.pooled.PooledSortedSetCommandsTest.zrangeParams,0,86,26,6,1,0.05,43,389,1,0.00,0.00
redis.clients.jedis.commands.jedis.MigrateTest.migrateConflict,3,106,21,4,1,0.09,42,586,0,0.00,0.00
redis.clients.jedis.commands.jedis.ScriptingCommandsTest.evalInt,1,79,20,3,1,0.06,26,472,0,0.00,0.00
redis.clients.jedis.commands.unified.pooled.PooledSortedSetCommandsTest.zincrbyWithParams,0,83,23,6,1,0.05,33,336,1,0.00,0.00
redis.clients.jedis.commands.jedis.AccessControlListCommandsTest.basicPermissionsTest,2,80,18,3,1,0.07,47,528,0,0.00,0.00
redis.clients.jedis.commands.jedis.ClusterScriptingCommandsTest.testEval2,3,127,31,5,1,0.03,56,784,0,0.00,0.00
redis.clients.jedis.JedisClusterTest.testClusterForgetNode,2,60,14,3,1,0.09,120,377,1,0.00,0.00
redis.clients.jedis.commands.unified.pooled.PooledAllKindOfValuesCommandsTest.existsMany,0,61,20,5,1,0.02,30,278,1,0.00,0.00
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.swapDB,1,88,19,3,1,0.09,45,493,0,0.00,0.00
redis.clients.jedis.JedisClusterTest.testCalculateConnectionPerSlot,4,138,31,5,1,0.04,76,817,1,0.00,0.00
redis.clients.jedis.commands.jedis.AccessControlListCommandsTest.aclLogTest,1,128,26,4,1,0.10,80,723,0,0.00,0.00
redis.clients.jedis.commands.jedis.BitCommandsTest.setAndgetrange,1,83,19,3,1,0.07,14,481,0,0.00,0.00
redis.clients.jedis.commands.jedis.StringValuesCommandsTest.substr,1,77,18,3,1,0.06,14,473,0,0.00,0.00
redis.clients.jedis.commands.jedis.TransactionCommandsTest.discardFail,1,85,20,3,1,0.07,31,519,1,0.00,0.00
redis.clients.jedis.commands.jedis.ClientCommandsTest.nameBinary,2,76,16,3,1,0.09,22,472,0,0.00,0.00
redis.clients.jedis.commands.jedis.StringValuesCommandsTest.mget,1,80,19,3,1,0.06,26,496,0,0.00,0.00
redis.clients.jedis.TransactionV2Test.watch,3,103,22,3,1,0.09,30,587,1,0.00,0.00
redis.clients.jedis.commands.unified.pooled.PooledAllKindOfValuesCommandsTest.setGetOptionTest,0,68,22,6,1,0.03,27,329,1,0.00,0.00
redis.clients.jedis.commands.jedis.SortedSetCommandsTest.zrange,1,87,20,3,1,0.07,51,503,0,0.00,0.00
redis.clients.jedis.modules.json.PathTest.testPathHashCode,0,2,1,1,1,1.00,4,5,1,0.00,0.00
redis.clients.jedis.JedisTest.checkCloseable,2,60,15,3,1,0.06,11,420,1,0.00,0.00
redis.clients.jedis.commands.unified.pooled.PooledAllKindOfValuesCommandsTest.ttl,0,68,20,5,1,0.03,35,283,1,0.00,0.00
redis.clients.jedis.commands.unified.pooled.PooledStringValuesCommandsTest.setex,0,58,20,5,1,0.02,13,273,1,0.00,0.00
redis.clients.jedis.ACLJedisPoolTest.shouldThrowInvalidURIExceptionForInvalidURI,0,2,1,1,1,0.00,1,20,0,0.00,0.00
redis.clients.jedis.exceptions.ExceptionsTest.jedis,3,0,0,0,0,0.00,17,6,0,0.00,0.00
redis.clients.jedis.commands.unified.pooled.PooledSetCommandsTest.sintercard,0,70,20,5,1,0.03,39,289,1,0.00,0.00
redis.clients.jedis.resps.TupleTest.testSameElement,1,3,2,2,2,0.00,10,24,1,0.00,0.00
redis.clients.jedis.commands.unified.pooled.PooledBitCommandsTest.testBinaryBitfield,0,58,19,5,1,0.03,15,284,1,0.00,0.00
redis.clients.jedis.commands.jedis.TransactionCommandsTest.testTransactionWithGeneralCommand,1,121,25,3,1,0.09,41,639,1,0.00,0.00
redis.clients.jedis.commands.unified.pooled.PooledSortedSetCommandsTest.zrange,0,69,21,5,1,0.02,51,319,1,0.00,0.00
redis.clients.jedis.commands.jedis.BinaryValuesCommandsTest.incrWrongValue,1,76,18,3,1,0.06,24,476,0,0.00,0.00
redis.clients.jedis.commands.jedis.ListCommandsTest.blmpopSimple,1,90,23,3,1,0.06,38,526,0,0.00,0.00
redis.clients.jedis.commands.unified.pooled.PooledGeoCommandsTest.georadiusByMemberReadonly,0,82,27,7,1,0.06,33,394,1,0.00,0.00
redis.clients.jedis.ShardedConnectionTest.checkResourceIsCloseable,2,103,27,5,1,0.04,16,635,1,0.00,0.00
redis.clients.jedis.commands.jedis.SetCommandsTest.smove,1,95,22,3,1,0.07,63,521,0,0.00,0.00
redis.clients.jedis.commands.jedis.ClusterValuesCommandsTest.testHincrByFloat,3,123,31,5,1,0.03,57,774,0,0.00,0.00
redis.clients.jedis.commands.jedis.ControlCommandsTest.memoryUsageString,1,85,20,3,1,0.08,18,483,0,0.00,0.00
redis.clients.jedis.ShardingTest.checkKeyTags,3,69,18,3,1,0.09,18,465,0,0.00,0.00
redis.clients.jedis.commands.jedis.ListCommandsTest.llen,1,81,18,3,1,0.07,31,462,0,0.00,0.00
redis.clients.jedis.commands.unified.pooled.PooledStringValuesCommandsTest.strlen,0,58,20,5,1,0.02,12,273,1,0.00,0.00
redis.clients.jedis.commands.jedis.ScriptingCommandsTest.fcall,1,82,20,3,1,0.06,27,487,0,0.00,0.00
redis.clients.jedis.TransactionV2Test.transactionResponse,3,114,24,3,1,0.10,32,625,1,0.00,0.00
redis.clients.jedis.JedisSentinelPoolTest.initializeWithNotMonitoredMasterNameShouldThrowException,1,71,18,3,1,0.03,21,501,1,0.00,0.00
redis.clients.jedis.commands.jedis.ControlCommandsTest.configSet,1,70,16,3,1,0.07,14,462,0,0.00,0.00
redis.clients.jedis.ProtocolTest.nullBulkReply,1,7,2,2,1,0.02,5,58,1,0.00,0.00
redis.clients.jedis.TransactionV2Test.multi,3,97,22,3,1,0.06,35,570,1,0.00,0.00
redis.clients.jedis.commands.unified.pooled.PooledGeoCommandsTest.georadiusStoreBinary,1,77,25,6,1,0.04,31,365,1,0.00,0.00
redis.clients.jedis.commands.jedis.ClusterBinaryValuesCommandsTest.testSadd,3,126,32,5,1,0.03,63,784,0,0.00,0.00
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.scan,1,86,21,4,1,0.07,31,507,0,0.00,0.00
redis.clients.jedis.commands.jedis.SlowlogCommandsTest.slowlog,1,102,21,4,1,0.09,34,555,1,0.00,0.00
redis.clients.jedis.JedisClusterTest.testLocalhostNodeNotAddedWhen127Present,4,104,23,5,1,0.05,73,646,1,0.00,0.00
redis.clients.jedis.commands.jedis.StreamsCommandsTest.pipeline,1,97,26,4,1,0.09,26,594,0,0.00,0.00
redis.clients.jedis.commands.jedis.SortedSetCommandsTest.zmpop,2,98,28,5,1,0.06,32,555,0,0.00,0.00
redis.clients.jedis.commands.jedis.MigrateTest.migrate,2,94,19,3,1,0.10,30,516,0,0.00,0.00
redis.clients.jedis.JedisTest.allowUrlWithNoDBAndNoPassword,2,71,16,3,1,0.07,15,453,1,0.00,0.00
redis.clients.jedis.commands.unified.pooled.PooledSortedSetCommandsTest.zremrangeByRank,0,73,21,5,1,0.03,45,323,1,0.00,0.00
redis.clients.jedis.commands.unified.pooled.PooledAllKindOfValuesCommandsTest.psetex,0,64,20,5,1,0.03,29,279,1,0.00,0.00
redis.clients.jedis.commands.jedis.BinaryValuesCommandsTest.mget,1,81,19,3,1,0.06,41,488,0,0.00,0.00
redis.clients.jedis.JedisClusterTest.testReturnConnectionOnJedisConnectionException,5,145,33,5,1,0.07,81,864,1,0.00,0.00
redis.clients.jedis.commands.unified.pooled.PooledSortedSetCommandsTest.zdiff,2,84,28,6,1,0.03,37,378,1,0.00,0.00
