TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,NKM,NSM,dNKM,dNSM,MutationScore,dMutationScore
org.junit.tests.assertion.AssertionTest.bigDecimalsNotEqual,0,54,19,7,1,0.00,19,239,0,0,0,0,0,0.00,0.00
org.junit.runner.FilterFactoriesTest.shouldCreateFilterWithNoArguments,2,176,59,13,1,0.01,14,743,1,0,0,0,0,0.00,0.00
org.junit.tests.running.classes.ParentRunnerTest.assumptionViolatedAtParentLevel,4,145,39,10,1,0.04,37,618,1,0,0,0,0,0.00,0.00
junit.tests.framework.TestCaseTest.testSetupFails,1,44,12,4,3,0.06,31,180,1,0,0,0,0,0.00,0.00
org.junit.tests.experimental.theories.internal.AllMembersSupplierTest.dataPointsAnnotationMeansTreatAsArrayOnly,1,110,35,11,1,0.03,14,480,1,0,0,0,0,0.00,0.00
org.junit.tests.assertion.AssertionTest.assertThrowsDetectsTypeMismatchesViaExplicitTypeHint,0,55,19,7,1,0.00,25,253,0,0,0,0,0,0.00,0.00
org.junit.runners.model.TestClassTest.isNotEqualToNull,1,83,29,9,1,0.04,27,364,1,0,0,0,0,0.00,0.00
org.junit.experimental.categories.CategoryTest.testCountWithMultipleIncludeFilter,1,202,63,14,1,0.01,10,862,0,0,0,0,0,0.00,0.00
org.junit.rules.DisableOnDebugTest.whenRunWithPreJava5DebugArgumentsInReverseOrderTestShouldFail,2,212,64,12,1,0.01,31,831,1,0,0,0,0,0.00,0.00
junit.tests.runner.ResultTest.testRunFailureResultCanBeReserialised_v4_12,2,236,64,13,2,0.03,74,932,1,0,0,0,0,0.00,0.00
org.junit.rules.TempFolderRuleTest.randomFilesAreDeleted,1,219,70,14,1,0.01,35,900,0,0,0,0,0,0.00,0.00
org.junit.runners.parameterized.TestWithParametersTest.cannotBeCreatedWithoutParameters,1,74,27,10,1,0.02,28,284,0,0,0,0,0,0.00,0.00
org.junit.tests.assertion.ComparisonFailureTest.compactFailureMessage[compact-msg-8; exp="PRE:world:01234567890123456789POST"],1,68,24,8,1,0.01,26,274,1,0,0,0,0,0.00,0.00
junit.samples.money.MoneyTest.testSimpleBagAdd,0,36,12,4,3,0.01,98,154,0,0,0,0,0,0.00,0.00
org.junit.experimental.categories.CategoryTest.categoryFilterLeavesOnlyMatchingMethods,1,140,39,12,1,0.02,6,608,0,0,0,0,0,0.00,0.00
org.junit.rules.BlockJUnit4ClassRunnerOverrideTest.createTestDefersToNoArgCreateTest,1,183,56,13,1,0.01,32,743,0,0,0,0,0,0.00,0.00
org.junit.rules.ErrorCollectorTest.runTestClassAndVerifyEvents[class org.junit.rules.ErrorCollectorTest$CheckMatcherThatDoesNotFailWithProvidedReason],3,227,69,13,1,0.01,50,907,1,0,0,0,0,0.00,0.00
org.junit.tests.running.classes.SuiteTest.ensureTestIsRun,1,202,59,11,1,0.01,9,803,1,0,0,0,0,0.00,0.00
junit.samples.ListTest.testContains,0,38,12,4,3,0.03,27,154,0,0,0,0,0,0.00,0.00
org.junit.tests.assertion.AssertionTest.nullMessage,0,53,20,7,1,0.03,25,206,0,0,0,0,0,0.00,0.00
org.junit.tests.experimental.theories.internal.SpecificDataPointsSupplierTest.shouldReturnOnlyTheNamedSingleMethodDataPoints,2,93,30,10,1,0.03,14,429,1,0,0,0,0,0.00,0.00
org.junit.rules.RuleMemberValidatorTest.rejectClassRuleMethodReturnsAnArbitraryObject,1,83,30,9,1,0.06,29,341,1,0,0,0,0,0.00,0.00
org.junit.experimental.categories.JavadocTest.slowTests,0,227,64,13,1,0.01,10,925,0,0,0,0,0,0.00,0.00
org.junit.experimental.categories.CategoryTest.testInheritance,0,223,63,13,1,0.01,8,913,0,0,0,0,0,0.00,0.00
org.junit.internal.runners.statements.FailOnTimeoutTest.notLookingForStuckThread_usesSameThreadGroup[lookingForStuckThread = false],1,66,26,8,1,0.12,38,300,1,0,0,0,0,0.00,0.00
org.junit.tests.assertion.ComparisonFailureTest.compactFailureMessage[compact-msg-7; exp="01234567890123456789PRE:world:POST"],1,68,24,8,1,0.01,26,274,1,0,0,0,0,0.00,0.00
org.junit.tests.junit3compatibility.InitializationErrorForwardCompatibilityTest.initializationErrorsShowUpAsWarnings,2,89,32,11,2,0.01,28,385,0,0,0,0,0,0.00,0.00
junit.tests.framework.TestCaseTest.testNamelessTestCase,1,46,13,4,3,0.04,26,192,1,0,0,0,0,0.00,0.00
org.junit.rules.TimeoutRuleTest.timeUnitTimeout,2,250,76,12,1,0.01,72,1044,0,0,0,0,0,0.00,0.00
junit.tests.framework.TestCaseTest.testNoArgTestCasePasses,3,56,16,5,3,0.02,30,253,1,0,0,0,0,0.00,0.00
junit.samples.money.MoneyTest.testSimpleAdd,0,36,12,4,3,0.01,74,154,0,0,0,0,0,0.00,0.00
org.junit.rules.TemporaryFolderUsageTest.newFolderWithPathContainingFileSeparatorCreatesDirectories,1,75,29,8,1,0.04,42,358,0,0,0,0,0,0.00,0.00
junit.tests.framework.AssertionFailedErrorTest.testCreateErrorWithoutMessage,1,36,12,4,3,0.02,24,152,0,0,0,0,0,0.00,0.00
org.junit.samples.money.MoneyTest.testBagSubtract,0,67,26,9,2,0.01,110,254,0,0,0,0,0,0.00,0.00
