TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,NKM,NSM,dNKM,dNSM,MutationScore,dMutationScore
com.fincatto.documentofiscal.nfe400.classes.nota.NFNotaInfoItemImpostoCOFINSOutrasOperacoesTest.naoDevePermitirSituacaoTributariaNulo,1,11,3,3,1,0.62,9,353,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.nota.NFNotaInfoVolumeTest.naoDevePermitirNumerocaoVolumesComTamanhoInvalido,1,2,1,1,1,0.00,8,8,0,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.nota.NFNotaInfoItemImpostoTest.naoDeveGerarIcms10ComPercentualMVA,3,26,6,3,2,0.55,24,85,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.validadores.DFIntegerValidadorTest.deveLancarExcecaoCasoValorParaTamanho7SejaInvalido,0,1,1,1,1,0.00,1,3,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.nota.NFNotaInfoItemProdutoCombustivelCIDETest.naoDevePermitirValorNulo,1,6,3,3,1,0.56,6,349,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe.classes.distribuicao.NFDistribuicaoNSUTest.deveEnviarUltimoNSU,1,2,1,1,1,1.00,5,5,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.NFAutorizador400Test.deveLancarExcecaoCasoRecebaUFNaoMapeada,0,19,19,2,1,0.00,1,22,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.nota.NFNotaInfoItemProdutoTest.naoDevePermitirQuantidadeComercialNulo,7,90,15,4,1,0.57,70,590,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.nota.NFNotaInfoRetencoesTributosTest.naoDevePermitirValorRetidoCSLLInvalidosMonetarios,0,1,1,1,1,0.00,1,8,0,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.nota.NFNotaInfoCobrancaTest.naoDevePermitirDuplicatasTamanhoInvalido,2,8,4,2,2,0.30,11,26,0,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.nota.NFNotaInfoItemImpostoICMS70Test.naoDevePermitirPercentualAliquotaComTamanhoInvalido,0,1,1,1,1,0.00,1,8,0,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.inutilizacao.NFRetornoEventoInutilizacaoDadosTest.deveObterNumeroNFInicialComoFoiSetado,1,2,1,1,1,1.00,5,5,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.nota.NFNotaInfoPagamentoTest.deveGerarXMLDeAcordoComOPadraoEstabelecido,2,19,11,4,1,0.48,14,374,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.cte300.classes.CTTomadorServicoTest.deveRepresentarOCodigoCorretamente,0,2,1,1,1,1.00,8,5,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.nota.NFNotaInfoLocalTest.naoDevePermitirLogradouroNulo,1,16,4,3,1,0.54,11,379,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.statusservico.consulta.NFStatusServicoConsultaTest.deveObterAmbienteComoFoiSetado,1,2,1,1,1,1.00,6,10,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.nota.NFNotaInfoItemImpostoICMSPartilhadoTest.naoDevePermitirPercentualAliquotaImpostoICMSSTComTamanhoInvalido,0,1,1,1,1,0.00,1,8,0,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.evento.cancelamento.NFEventoCancelamentoTest.naoDevePermitirInfoEventoNulo,2,6,4,4,1,0.63,8,347,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.nota.NFNotaInfoAvulsaTest.naoDevePermitirNomeAgenteComTamanhoInvalido,1,2,1,1,1,0.00,6,8,0,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.nota.NFNotaInfoItemImpostoICMS40Test.naoDevePermitirOrigemNulo,1,6,3,3,1,0.63,7,346,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.evento.manifestacaodestinatario.NFInfoEventoManifestacaoDestinatarioTest.deveObterChaveComoFoiSetado,1,6,2,2,2,0.24,5,19,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.cadastro.NFConsultaCadastroTest.deveObterOMesmoValorSetadoParaVersao,1,2,1,1,1,1.00,5,5,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.nota.NFNotaInfoRetencaoICMSTransporteTest.devePermitirValorICMSRetidoValorServicoTamanhoValido,1,3,2,2,2,0.22,3,11,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.nota.NFNotaInfoItemImpostoCOFINSOutrasOperacoesTest.naoDevePermitirValorCOFINS,1,13,5,5,1,0.57,9,355,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.nota.NFNotaInfoItemProdutoDeclaracaoImportacaoTest.naoDevePermitirLocalDesembaracoComTamanhoInvalido,1,2,1,1,1,0.00,6,8,0,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.nota.NFNotaInfoItemProdutoTest.deveObterCfopComoFoiSetado,1,6,2,2,2,0.24,5,19,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.nota.NFNotaInfoItemImpostoICMS90Test.naoDevePermitirPercentualAliquota,0,1,1,1,1,0.00,1,8,0,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.inutilizacao.NFRetornoEventoInutilizacaoDadosTest.deveObterAnoComoFoiSetado,1,2,1,1,1,1.00,5,5,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.nota.NFNotaInfoItemImpostoImportacaoTest.naoDevePermitirValorIOFNulo,1,6,3,3,1,0.63,7,351,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.nota.NFInformacaoImpostoDevolvidoTest.naoDevePermitirValorIPIInvalido,1,1,1,1,1,0.00,4,8,0,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.nota.NFNotaInfoCanaTest.deveGerarXMLDeAcordoComOPadraoEstabelecido,2,21,6,3,1,0.62,21,394,1,0,0,0,0,0.00,0.00
