TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,NKM,NSM,dNKM,dNSM,MutationScore,dMutationScore,TOP,dTOP
com.helger.bc.SPITest.testBasic,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
com.helger.cli.CmdLineParserTest.testParse,2,40,7,1,1,0.13,25,230,1,36,77,0,8,0.32,0,0,0
com.helger.cli.CmdLineParserTest.testParseChooseBest,2,36,7,1,1,0.11,57,226,1,43,57,1,6,0.43,0.14,0,0
com.helger.cli.CmdLineParserTest.testParseGroup,3,46,10,1,1,0.06,50,263,1,57,61,1,6,0.48,0.14,0,0
com.helger.cli.CmdLineParserTest.testParseGroupRequired,3,44,9,1,1,0.06,31,257,1,57,57,1,7,0.5,0.12,0,0
com.helger.cli.CmdLineParserTest.testParseMultiple,2,39,7,1,1,0.13,22,240,1,56,53,1,9,0.51,0.1,0,0
com.helger.cli.CmdLineParserTest.testParseNotRepeatable,2,45,8,1,1,0.14,12,259,1,67,61,4,5,0.52,0.44,0,0
com.helger.cli.CmdLineParserTest.testParseRequired,2,45,8,1,1,0.14,12,259,1,60,60,1,8,0.5,0.11,0,0
com.helger.cli.CmdLineParserTest.testParseUndefinedActions,2,43,7,1,1,0.13,12,239,1,63,59,0,9,0.52,0,0,0
com.helger.cli.CmdLineParserTest.testValuesBasic,2,43,8,1,1,0.13,24,249,1,56,63,2,8,0.47,0.2,0,0
com.helger.cli.CmdLineParserTest.testValuesValueSep,2,45,7,1,1,0.16,17,253,1,58,68,1,10,0.46,0.09,0,0
com.helger.cli.CmdLineParserTest.testValuesValueSepUnbounded,2,44,7,1,1,0.16,21,239,1,56,59,3,8,0.49,0.27,0,0
com.helger.cli.CmdLineParserTest.testValuesValueSepUnboundedRepeatable,2,45,8,1,1,0.17,23,259,1,66,57,2,9,0.54,0.18,0,0
com.helger.cli.HelpFormatterTest.testAccessors,1,16,1,1,1,1,19,40,1,8,0,3,0,1,1,1,1
