TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,MutationScore,disjointMutationScore
org.pitest.classinfo.ClassNameTest.getNameWithoutPackageShouldReturnNameWhenClassInPackageDefault,0,4,1,1,1,0.76,3,32,1,0.00,0.00
org.pitest.mutationtest.build.intercept.javafeatures.RecordFilterTest.findsMutantsInNormalClass,0,6,2,2,2,0.22,33,21,1,0.00,0.00
org.pitest.mutationtest.build.intercept.javafeatures.ForEachFilterTest.filtersMutationsToForEachOverCollections,0,63,16,3,3,0.02,50,194,0,0.00,0.00
org.pitest.util.VerbosityTest.givesMeaningfulErrorForGarbageInput,0,1,1,1,1,0.00,3,5,1,0.00,0.00
org.pitest.TestJUnitConfiguration.shouldDetectTestInJUnitThreeSuiteMethods,3,51,17,9,5,0.03,14,228,0,0.00,0.00
org.pitest.mutationtest.engine.gregor.mutators.BigIntegerMutatorTest.absLambda,2,168,36,13,7,0.06,113,650,1,0.00,0.00
org.pitest.coverage.codeassist.LineMapperTest.shouldMapLinesWhenLinesSpanBlocks,1,23,6,4,3,0.02,24,148,1,0.00,0.00
org.pitest.mutationtest.build.MutationDiscoveryTest.shouldNotFilterInlinedFinallyBlocksWhenFlagNotSet,3,278,71,15,5,0.04,22,835,0,0.00,0.00
org.pitest.mutationtest.tooling.JarCreatingJarFinderTest.shouldCloseWithoutErrorWhenNoLocationSet,1,1,1,1,1,1.00,10,8,1,0.00,0.00
org.pitest.maven.MojoToReportOptionsConverterTest.testParsesTestGroupsToExclude,2,69,2,1,1,0.08,55,208,1,0.00,0.00
org.pitest.coverage.CoverageSummaryTest.shouldCorrectlyCalculateLineCoverageWhenNoLinesPresent,1,1,1,1,1,1.00,2,6,1,0.00,0.00
org.pitest.mutationtest.build.intercept.annotations.ExcludedAnnotationInterceptorTest.shouldNotFilterMutationsWhenNoAnnotations,0,13,4,2,2,0.40,13,47,1,0.00,0.00
org.pitest.classpath.ClassPathTest.shouldAllowSubComponentsToBeSelected,1,12,4,2,2,0.03,14,39,1,0.00,0.00
org.pitest.mutationtest.engine.gregor.ClassInfoTest.shouldIdentifyEnumsFromSuperClass,1,1,1,1,1,1.00,3,9,1,0.00,0.00
org.pitest.maven.PitMojoTest.testAllowsSurvivingMutantsThresholdToBeZero,1,77,3,1,1,0.11,52,278,0,0.00,0.00
org.pitest.TestJUnitConfiguration.shouldFindTestInJUnitParamsTest,2,65,22,10,5,0.01,12,287,0,0.00,0.00
org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutatorTest.shouldMutateIReturnsOf0To1,2,187,40,13,7,0.06,111,668,1,0.00,0.00
org.pitest.junit.adapter.AdaptingRunListenerTest.shouldTreatAssumptionFailureAsSuccess,2,3,2,2,2,0.57,11,18,1,0.00,0.00
org.pitest.mutationtest.build.intercept.timeout.AvoidForLoopCounterTest.shouldFilterLoopsWithSmallConstant,0,57,16,3,3,0.03,40,175,0,0.00,0.00
org.pitest.ant.PitestTaskTest.shouldFailWhenNoSourceDirSupplied,1,11,1,1,1,0.53,19,45,1,0.00,0.00
org.pitest.mutationtest.engine.gregor.mutators.BooleanFalseReturnValsMutatorTest.describesMutationsToBoxedBooleans,1,137,32,13,7,0.02,38,489,1,0.00,0.00
org.pitest.plugin.FeatureTest.shouldUseOnlyNameForEquality,0,4,1,1,1,0.33,3,17,1,0.00,0.00
org.pitest.mutationtest.engine.gregor.config.MutatorTest.providesPRIMITIVE_RETURNS,0,8,3,3,3,0.42,6,31,1,0.00,0.00
org.pitest.mutationtest.engine.gregor.mutators.MathMutatorTest.shouldReplaceLongDivisionWithMultiplication,2,180,38,13,7,0.06,109,642,1,0.00,0.00
org.pitest.util.FunctionsTest.stringToEnumShouldConvertStringsToEnumValues,0,2,1,1,1,0.50,5,2,1,0.00,0.00
org.pitest.ant.PitestTaskTest.shouldFailtOnError,1,11,1,1,1,0.53,12,45,1,0.00,0.00
org.pitest.ant.PitestTaskTest.shouldPassJVMToJavaTask,1,12,1,1,1,0.56,13,47,1,0.00,0.00
org.pitest.plugin.FeatureSelectorTest.featureNamesAreCaseInsensitive,2,19,4,2,2,0.15,6,64,1,0.00,0.00
org.pitest.mutationtest.engine.gregor.mutators.experimental.NakedReceiverMutatorTest.shouldRemoveDslMethods,2,183,37,13,7,0.06,107,658,1,0.00,0.00
org.pitest.mutationtest.DetectionStatusTest.shouldConsiderRunErrorAsDetected,0,1,1,1,1,1.00,2,1,1,0.00,0.00
org.pitest.maven.MojoToReportOptionsConverterTest.testParsesListOfExcludedClassGlobsAndApplyTheseToTargets,2,68,2,1,1,0.09,57,200,1,0.00,0.00
org.pitest.classinfo.ComputeClassWriterTest.shouldResolveObjectAsSuperClassWhenInterfacesExtendCommonInterface,0,14,7,3,3,0.11,5,105,1,0.00,0.00
org.pitest.mutationtest.engine.gregor.config.MutatorTest.providesExperimentalMutators,0,13,8,3,3,0.36,11,36,1,0.00,0.00
org.pitest.mutationtest.engine.gregor.blocks.BlockTrackingMethodDecoratorTest.shouldRegisterNewBlockForLReturnInstructions,1,12,4,2,2,0.08,11,90,1,0.00,0.00
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutatorTest.shouldReplaceIFNE_ORDER_F,2,128,33,13,7,0.02,41,480,1,0.00,0.00
org.pitest.ant.PitestTaskTest.shouldOnlyPassTheSpecifiedOptions,1,12,1,1,1,0.56,19,47,1,0.00,0.00
org.pitest.mutationtest.build.MutationDiscoveryTest.shouldFilterMutationsToForEachLoops,3,255,69,15,5,0.04,23,744,0,0.00,0.00
org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutatorTest.shouldRemoveNonVoidMethodCallReturningFloatType,2,184,36,13,7,0.06,107,665,1,0.00,0.00
org.pitest.simpletest.SignatureEqualityStrategyTest.shouldConsiderMethodsWithSameNameButDifferentSignaturesNotEqual,0,3,2,2,2,0.11,32,9,0,0.00,0.00
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutatorTest.shouldReplaceIF_ICMPLE_ORDER_T,3,183,38,13,7,0.06,125,673,1,0.00,0.00
org.pitest.mutationtest.engine.gregor.mutators.BigIntegerMutatorTest.flipBitLambda,2,168,36,13,7,0.06,113,650,1,0.00,0.00
org.pitest.mutationtest.statistics.ScoreTest.shouldContainEmptyScoreForEachStatusWhenConstructed,1,4,2,1,1,0.43,8,15,0,0.00,0.00
org.pitest.coverage.export.DefaultCoverageExporterTest.shouldEscapeSpecialCharsInTestName,1,5,1,1,1,0.21,20,41,1,0.00,0.00
org.pitest.aggregate.ReportAggregatorBuilderTest.testLineCoverageFiles_withDir,0,3,2,1,1,0.55,5,16,1,0.00,0.00
org.pitest.sequence.MatchTest.isEqualShouldCheckEquality,0,4,2,1,1,0.50,4,8,1,0.00,0.00
org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutatorTest.shouldMutateReturnsOfNonNullObjectsToNull,2,186,39,13,7,0.06,112,669,1,0.00,0.00
org.pitest.classinfo.ClassNameTest.getNameWithoutPackageShouldReturnNameOnlyWhenClassIsOuterClass,0,5,1,1,1,0.77,3,33,1,0.00,0.00
org.pitest.mutationtest.tooling.SpinnerListenerTest.shouldPrintSpinnerSequence,1,2,1,1,1,0.75,7,8,1,0.00,0.00
org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutatorTest.shouldReplaceIF_ICMPNEWithIF_CMPEQ,2,181,37,13,7,0.06,111,650,1,0.00,0.00
org.pitest.coverage.CoverageDataTest.shouldMatchPackageWhenFindingSources,1,5,2,1,1,0.10,15,24,1,0.00,0.00
org.pitest.TestJUnitConfiguration.shouldCallSingleStringArgumentsConstructorWithTestNameWithAnnotations,2,77,24,10,5,0.01,16,326,0,0.00,0.00
org.pitest.ant.PitestTaskTest.shouldPassDetectInlinedCodeOptionToJavaTask,1,12,1,1,1,0.56,13,47,1,0.00,0.00
org.pitest.sequence.ContextTest.canStoreAndRetrieveMultipleValues,0,11,7,1,1,0.22,17,34,1,0.00,0.00
org.pitest.maven.ScmMojoTest.testDoesNotAnalysePomProjects,1,10,3,1,1,0.58,55,73,1,0.00,0.00
org.pitest.mutationtest.engine.gregor.mutators.BigIntegerMutatorTest.andNotLambda,2,168,36,13,7,0.06,116,650,1,0.00,0.00
org.pitest.ant.PitestTaskTest.shouldPassCoverageThresholdToJavaTask,1,12,1,1,1,0.56,13,47,1,0.00,0.00
org.pitest.mutationtest.engine.MutationIdentifierTest.shouldNotMatchWhenLocationsDiffer,1,6,3,2,2,0.58,12,51,1,0.00,0.00
org.pitest.dependency.IgnoreCoreClassesTest.shouldIgnoreJavaX,3,14,7,5,3,0.05,6,64,1,0.00,0.00
org.pitest.classinfo.ClassNameTest.shouldUseCachedInstancesForPredicate,0,3,1,1,1,0.05,2,20,1,0.00,0.00
org.pitest.mutationtest.engine.gregor.config.MutatorTest.providesNON_VOID_METHOD_CALLS,0,8,3,3,3,0.42,6,31,1,0.00,0.00
org.pitest.mutationtest.engine.gregor.TestGregorMutater.shouldScopeMutationIndexesByInstructionCounter,1,139,35,13,7,0.03,40,517,1,0.00,0.00
org.pitest.classinfo.ClassInfoVisitorTest.shouldDetectCodeLineAtClassDeclarationsWhenClassHasDefaultConstructor,0,23,8,2,2,0.44,23,79,1,0.00,0.00
org.pitest.junit.JUnit4SuiteFinderTest.shouldReturnEmptyCollectionForUnannotatedClass,1,1,1,1,1,1.00,5,5,1,0.00,0.00
org.pitest.aggregate.ReportAggregatorBuilderTest.testCompiledCodeDirectories_withFile,0,3,2,1,1,0.55,7,16,1,0.00,0.00
org.pitest.mutationtest.commandline.OptionsParserTest.shouldParseReportDir,1,9,3,1,1,0.01,19,276,1,0.00,0.00
org.pitest.reflection.ReflectionTest.publicFieldsReturnsFieldsDeclaredInParent,0,1,1,1,1,1.00,4,4,1,0.00,0.00
org.pitest.classinfo.RepositoryTest.shouldReturnTrueWhenAskedForKnownClass,1,2,1,1,1,0.12,6,14,1,0.00,0.00
