TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,NKM,NSM,dNKM,dNSM,MutationScore,dMutationScore,TOP,dTOP
io.protostuff.B64CodeTest.testBuffer,2,12,2,1,1,0.36,44,214,1,129,32,7,2,0.8,0.78,1,0
io.protostuff.B64CodeTest.testDecodeFromString,0,11,2,1,1,0.03,7,130,1,100,23,5,1,0.81,0.83,1,1
io.protostuff.B64CodeTest.testDecodeTo,0,10,2,1,1,0.18,13,129,1,99,23,5,1,0.81,0.83,1,1
io.protostuff.B64CodeTest.testRoundtrip,0,12,1,1,1,0.03,13,150,1,134,20,3,0,0.87,1,1,1
io.protostuff.B64CodeTest.testRoundtripFromString,0,12,1,1,1,0.03,13,150,1,128,26,0,3,0.83,0,1,0
io.protostuff.B64CodeTest.testStream,4,15,3,1,1,0.48,50,280,1,141,40,7,3,0.78,0.7,1,0
io.protostuff.B64CodeTest.testStringDecodeTo,0,9,2,1,1,0.24,12,135,1,97,23,5,1,0.81,0.83,1,1
io.protostuff.BufferReuseTest.testBar,0,35,4,1,1,0.05,143,226,0,62,53,2,4,0.54,0.33,0,0
io.protostuff.BufferReuseTest.testBaz,0,19,4,1,1,0.08,52,147,0,42,44,2,3,0.49,0.4,0,0
io.protostuff.BufferReuseTest.testEmptyBar,0,7,3,1,1,0.17,56,74,0,8,15,0,2,0.35,0,0,0
io.protostuff.BufferReuseTest.testEmptyBarInner,0,14,4,1,1,0.09,82,130,0,18,36,0,5,0.33,0,0,0
io.protostuff.BufferReuseTest.testEmptyFoo,0,7,3,1,1,0.17,83,74,0,8,15,0,2,0.35,0,0,0
io.protostuff.BufferReuseTest.testEmptyFooInner,0,14,4,1,1,0.09,135,130,0,16,38,0,5,0.3,0,0,0
io.protostuff.BufferReuseTest.testFoo,0,35,4,1,1,0.05,274,226,0,66,49,3,3,0.57,0.5,0,0
io.protostuff.BufferReuseTest.testFooSizeLimited,0,15,5,1,1,0.08,178,96,0,9,21,2,1,0.3,0.67,0,0
io.protostuff.BufferReuseTest.testPartialEmptyBar,0,17,4,1,1,0.08,85,146,0,17,42,0,5,0.29,0,0,0
io.protostuff.BufferReuseTest.testPartialEmptyBarInner,0,17,4,1,1,0.08,85,146,0,20,39,0,5,0.34,0,0,0
io.protostuff.BufferReuseTest.testPartialEmptyBarInnerWithEmptyString,0,17,4,1,1,0.06,85,193,0,24,45,0,6,0.35,0,0,0
io.protostuff.BufferReuseTest.testPartialEmptyBarInnerWithString,0,16,4,1,1,0.08,85,140,0,21,38,0,5,0.36,0,0,0
io.protostuff.BufferReuseTest.testPartialEmptyBarWithEmptyString,0,17,4,1,1,0.06,85,193,0,22,47,0,6,0.32,0,0,0
io.protostuff.BufferReuseTest.testPartialEmptyBarWithString,0,16,4,1,1,0.08,85,140,0,19,40,0,5,0.32,0,0,0
io.protostuff.BufferReuseTest.testPartialEmptyFoo,0,17,4,1,1,0.08,140,146,0,15,44,0,5,0.25,0,0,0
io.protostuff.BufferReuseTest.testPartialEmptyFooInner,0,7,3,1,1,0.17,96,74,0,8,15,0,2,0.35,0,0,0
io.protostuff.BufferReuseTest.testPartialEmptyFooInnerWithEmptyString,0,7,3,1,1,0.17,99,74,0,8,15,0,2,0.35,0,0,0
io.protostuff.BufferReuseTest.testPartialEmptyFooInnerWithString,0,7,3,1,1,0.17,99,74,0,8,15,0,2,0.35,0,0,0
io.protostuff.BufferReuseTest.testPartialEmptyFooWithEmptyString,0,14,4,1,1,0.07,101,168,0,20,41,0,6,0.33,0,0,0
io.protostuff.BufferReuseTest.testPartialEmptyFooWithString,0,13,4,1,1,0.1,101,115,0,16,35,0,5,0.31,0,0,0
io.protostuff.ByteStringTest.testToString,0,4,1,1,1,0.43,5,11,1,4,1,3,0,0.8,1,1,1
io.protostuff.ByteStringTest.testToString_emptyString,0,3,1,1,1,0.4,3,9,1,1,1,0,1,0.5,0,0,0
io.protostuff.CodedDataInputTest.testIt,0,27,9,1,1,0.11,59,308,0,2,133,1,11,0.01,0.08,0,0
io.protostuff.CodedInputTest.testSkipFieldOverTheBufferBoundary,1,10,2,1,1,0.35,16,117,1,28,31,6,2,0.47,0.75,0,0
io.protostuff.CodedOutputTest.testBool,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
io.protostuff.CodedOutputTest.testRawLittleEndian32Bytes,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0
io.protostuff.CodedOutputTest.testRawLittleEndian64Bytes,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0
io.protostuff.CodedOutputTest.testRawVarInt32Bytes,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0
io.protostuff.CodedOutputTest.testRawVarInt64Bytes,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0
io.protostuff.CompareInputsTest.testBenchmark,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
io.protostuff.CompareOutputsTest.testBenchmark,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
io.protostuff.CompareOutputsTest.testFooProtobuf,1,20,1,1,1,0.13,270,217,0,101,53,6,13,0.66,0.32,1,0
io.protostuff.CompareOutputsTest.testFooProtostuff,2,12,2,1,1,0.38,261,78,0,27,11,0,5,0.71,0,1,0
io.protostuff.GraphDelimiterTest.testBar,0,45,8,1,1,0.03,155,376,0,88,63,2,8,0.58,0.2,0,0
io.protostuff.GraphDelimiterTest.testBarTooLarge2,0,11,5,1,1,0.07,54,140,0,42,30,4,1,0.58,0.8,0,0
io.protostuff.GraphDelimiterTest.testBarTooLarge3,0,11,5,1,1,0.24,54,140,0,43,32,5,1,0.57,0.83,0,1
io.protostuff.GraphDelimiterTest.testBaz,0,23,7,1,1,0.14,66,247,0,49,42,2,4,0.54,0.33,0,0
io.protostuff.GraphDelimiterTest.testFoo,0,45,8,1,1,0.09,289,376,0,110,71,2,9,0.61,0.18,0,0
io.protostuff.GraphDelimiterTest.testFooEmpty,0,9,4,1,1,0.07,115,133,0,20,18,2,0,0.53,1,0,1
io.protostuff.GraphDelimiterTest.testFooTooLarge,0,21,6,1,1,0.16,115,203,0,49,33,1,1,0.6,0.5,0,0
io.protostuff.GraphTest.testCyclic,0,41,8,1,1,0.07,181,342,0,76,57,1,9,0.57,0.1,0,0
io.protostuff.GraphTest.testReference,0,41,8,1,1,0.07,301,336,0,71,56,0,9,0.56,0,0,0
io.protostuff.IntTest.testProtobuf,0,69,5,1,1,0.04,131,442,0,173,126,1,18,0.58,0.05,0,0
io.protostuff.IntTest.testProtostuff,0,60,6,1,1,0.06,132,339,0,114,76,1,8,0.6,0.11,0,0
io.protostuff.LinkBufferTest.testBasics,1,9,1,1,1,0.32,21,50,1,9,11,3,2,0.45,0.6,0,0
io.protostuff.LinkBufferTest.testGetBuffers,1,4,1,1,1,0.65,13,26,1,6,3,1,1,0.67,0.5,1,0
io.protostuff.LinkBufferTest.testGetBuffersAndAppendData,1,4,1,1,1,0.65,11,26,1,6,3,1,1,0.67,0.5,1,0
io.protostuff.LinkBufferTest.testWriteLargeVar32,1,3,1,1,1,0.86,6,28,1,8,6,3,0,0.57,1,0,1
io.protostuff.ListAdapterTest.checkConvertedValues,1,2,1,1,1,1,11,6,1,2,0,2,0,1,1,1,1
