TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,NKM,NSM,dNKM,dNSM,MutationScore,dMutationScore,TOP,dTOP
com.github.davidmoten.internal.operators.OperatorBoundedPriorityQueueTest.testError,1,4,3,2,2,0,12,20,1,5,62,3,7,0.07,0.3,0,1
com.github.davidmoten.internal.operators.OperatorBoundedPriorityQueueTest.testErrorCalledJustAfterUnsubscribe,1,6,3,2,2,0,14,32,1,41,52,2,7,0.44,0.22,0,0
com.github.davidmoten.internal.operators.OperatorBoundedPriorityQueueTest.testOperatorShouldRequestMaxFromUpstream,0,109,34,6,1,0.03,6,425,1,642,1270,5,72,0.34,0.06,0,0
com.github.davidmoten.internal.operators.OperatorBoundedPriorityQueueTest.testPriority,1,8,3,2,2,0,7,42,1,66,48,3,11,0.58,0.21,1,0
com.github.davidmoten.internal.operators.OperatorBoundedPriorityQueueTest.testUnsubscribeAfterFirst,1,8,3,2,2,0,11,42,1,8,108,0,14,0.07,0,0,0
com.github.davidmoten.internal.operators.OperatorBoundedPriorityQueueTest.testUnsubscribeAfterLastButBeforeCompletedCalled,1,8,3,2,2,0,15,42,1,20,104,3,14,0.16,0.18,0,0
com.github.davidmoten.internal.operators.OperatorBoundedPriorityQueueTest.testUnsubscribeCalledAfterFirst,1,7,3,2,2,0,17,41,1,5,92,2,7,0.05,0.22,0,0
com.github.davidmoten.rtree.BackpressureTest.testBackpressureFastPathNotInitiatedTwice,0,49,17,5,1,0.13,16,204,0,328,485,0,32,0.4,0,0,0
com.github.davidmoten.rtree.BackpressureTest.testBackpressureIterateWhenConditionFailsAgainstLeafNode,0,59,20,5,1,0.1,19,252,1,415,617,2,42,0.4,0.05,0,0
com.github.davidmoten.rtree.BackpressureTest.testBackpressureIterateWhenConditionFailsAgainstNonLeafNode,0,109,36,5,1,0.04,23,421,1,756,1003,4,50,0.43,0.07,0,0
com.github.davidmoten.rtree.BackpressureTest.testBackpressureIterateWhenNodeHasMaxChildrenAndIsNotRoot,0,109,36,5,1,0.04,22,421,1,698,1043,0,54,0.4,0,0,0
com.github.davidmoten.rtree.BackpressureTest.testBackpressureIterateWhenNodeHasMaxChildrenAndIsRoot,0,55,18,5,1,0.08,20,243,1,356,611,0,40,0.37,0,0,0
com.github.davidmoten.rtree.BackpressureTest.testBackpressureRequestZero,0,54,18,5,1,0.08,18,237,1,356,587,0,41,0.38,0,0,0
com.github.davidmoten.rtree.BackpressureTest.testBackpressureSearch,0,5,3,2,1,0.16,7,23,1,18,33,0,2,0.35,0,0,0
com.github.davidmoten.rtree.BackpressureTest.testBackpressureSearchNodeWithConditionThatAlwaysReturnsFalse,0,81,25,5,1,0.06,17,350,1,558,927,0,69,0.38,0,0,0
com.github.davidmoten.rtree.BackpressureTest.testConstructorIsPrivate,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
com.github.davidmoten.rtree.BackpressureTest.testRequestZero,1,7,3,2,1,0.19,14,36,1,29,49,5,3,0.37,0.62,0,1
com.github.davidmoten.rtree.BackpressureTest.testRequestZeroWhenUnsubscribed,1,7,3,2,1,0.24,17,36,1,30,36,4,2,0.45,0.67,0,1
com.github.davidmoten.rtree.ComparatorsTest.testConstructorIsPrivate,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
com.github.davidmoten.rtree.ContextTest.testContextIllegalMaxChildren,3,2,2,2,1,0.5,4,17,0,0,4,0,0,0,0,0,0
com.github.davidmoten.rtree.ContextTest.testContextIllegalMinChildren,3,2,2,2,1,0.5,4,17,0,0,4,0,0,0,0,0,0
com.github.davidmoten.rtree.ContextTest.testContextIllegalMinMaxChildren,3,2,2,2,1,0.5,4,17,0,0,4,0,0,0,0,0,0
com.github.davidmoten.rtree.ContextTest.testContextLegalChildren,3,2,2,2,1,0.5,4,17,0,4,0,0,0,1,0,1,0
com.github.davidmoten.rtree.ContextTest.testContextNodeFactoryNullThrowsNPE,0,0,0,0,0,0,1,15,0,19,48,2,3,0.28,0.4,0,1
com.github.davidmoten.rtree.ContextTest.testContextSelectorNullThrowsNPE,2,2,2,2,1,0.5,4,16,0,0,4,0,0,0,0,0,0
com.github.davidmoten.rtree.ContextTest.testContextSplitterNullThrowsNPE,2,2,2,2,1,0.5,4,16,0,0,4,0,0,0,0,0,0
com.github.davidmoten.rtree.EntriesTest.testEquality,0,7,5,5,1,0.08,3,35,1,55,62,0,6,0.47,0,0,0
com.github.davidmoten.rtree.EntriesTest.testEqualityWithGeometry,0,7,5,5,1,0.08,4,35,1,37,78,7,5,0.32,0.58,0,1
com.github.davidmoten.rtree.EntriesTest.testInequality,0,6,5,5,1,0.14,4,23,1,22,44,2,2,0.33,0.5,0,1
com.github.davidmoten.rtree.EntriesTest.testInequalityWithNull,0,6,5,5,1,0.14,3,23,1,22,31,5,0,0.42,1,0,1
com.github.davidmoten.rtree.EntriesTest.testIsUtilityClass,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
com.github.davidmoten.rtree.EntriesTest.testValue,0,5,4,4,1,0.4,3,14,1,10,25,0,0,0.29,0,0,0
com.github.davidmoten.rtree.FactoriesTest.isUtilityClass,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
com.github.davidmoten.rtree.fbs.FlatBuffersHelperTest.isUtilityClass,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
com.github.davidmoten.rtree.fbs.SerializerFlatBuffersTest.testInputStreamNotAsLongAsExpected,0,1,1,1,1,0,1,8,1,5,58,2,4,0.08,0.33,0,1
com.github.davidmoten.rtree.fbs.SerializerFlatBuffersTest.testInputStreamReturnsArrayInSmallChunks,0,1,1,1,1,1,16,8,1,36,20,4,2,0.64,0.67,1,1
com.github.davidmoten.rtree.fbs.SerializerFlatBuffersTest.testSerializeRoundTripToDefaultStructure,0,204,46,7,1,0.02,67,700,1,1825,1352,7,57,0.57,0.11,1,0
com.github.davidmoten.rtree.fbs.SerializerFlatBuffersTest.testSerializeRoundTripToDefaultStructureBackpressure,0,214,49,7,1,0.02,67,743,1,1864,1448,7,65,0.56,0.1,0,0
com.github.davidmoten.rtree.fbs.SerializerFlatBuffersTest.testSerializeRoundTripToFlatBuffersSingleArray,0,212,47,7,1,0.02,67,714,1,1947,1372,8,63,0.59,0.11,1,0
com.github.davidmoten.rtree.fbs.SerializerFlatBuffersTest.testSerializeRoundTripToFlatBuffersSingleArrayBackpressure,0,233,51,7,1,0.02,67,773,1,2030,1475,6,70,0.58,0.08,1,0
com.github.davidmoten.rtree.geometry.CircleTest.testCoordinates,0,5,3,2,1,0.2,5,19,0,42,87,4,11,0.33,0.27,0,0
com.github.davidmoten.rtree.geometry.CircleTest.testDistance,0,14,4,2,1,0.07,5,42,0,186,226,0,20,0.45,0,0,0
com.github.davidmoten.rtree.geometry.CircleTest.testDistanceIsZeroWhenIntersects,0,14,4,2,1,0.07,4,42,0,81,329,3,17,0.2,0.15,0,0
com.github.davidmoten.rtree.geometry.CircleTest.testDoesNotIntersectPoint,0,9,4,2,1,0.22,3,27,0,35,161,1,16,0.18,0.06,0,0
com.github.davidmoten.rtree.geometry.CircleTest.testDoNotIntersect,0,9,5,2,1,0.08,5,26,0,33,183,5,22,0.15,0.19,0,0
com.github.davidmoten.rtree.geometry.CircleTest.testEquality,0,5,4,3,2,0.08,5,27,0,49,119,0,17,0.29,0,0,0
com.github.davidmoten.rtree.geometry.CircleTest.testHashCode,0,4,3,2,1,0.25,4,18,0,50,81,5,11,0.38,0.31,0,1
com.github.davidmoten.rtree.geometry.CircleTest.testInequalityRadius,0,5,4,3,2,0.08,5,27,0,34,133,2,15,0.2,0.12,0,0
com.github.davidmoten.rtree.geometry.CircleTest.testInequalityWithNull,0,5,4,3,2,0.08,4,27,0,34,102,5,11,0.25,0.31,0,1
com.github.davidmoten.rtree.geometry.CircleTest.testInequalityX,0,5,4,3,2,0.08,5,27,0,35,119,2,13,0.23,0.13,0,0
com.github.davidmoten.rtree.geometry.CircleTest.testInequalityY,0,5,4,3,2,0.08,5,27,0,29,125,0,15,0.19,0,0,0
com.github.davidmoten.rtree.geometry.CircleTest.testIntersects,0,12,7,2,1,0.13,5,43,0,61,273,5,17,0.18,0.23,0,0
com.github.davidmoten.rtree.geometry.CircleTest.testIntersects2,0,16,5,2,1,0.07,4,52,0,110,378,0,20,0.23,0,0,0
com.github.davidmoten.rtree.geometry.CircleTest.testIntersects3,0,14,4,2,1,0.07,4,42,0,163,249,0,20,0.4,0,0,0
com.github.davidmoten.rtree.geometry.CircleTest.testIntersectsPoint,0,9,4,2,1,0.22,3,27,0,38,159,0,17,0.19,0,0,0
com.github.davidmoten.rtree.geometry.CircleTest.testIntersectsReturnsFalse,0,15,4,2,1,0.07,3,43,0,54,372,0,20,0.13,0,0,0
com.github.davidmoten.rtree.geometry.CircleTest.testIntersectsReturnsTrue,0,14,4,2,1,0.08,3,40,0,43,195,0,15,0.18,0,0,0
com.github.davidmoten.rtree.geometry.CircleTest.testMbr,0,7,4,3,2,0.13,5,29,0,91,85,6,10,0.52,0.38,0,1
com.github.davidmoten.rtree.geometry.GeometriesTest.testNormalizeLongitude,0,2,1,1,1,0.11,3,9,1,19,90,2,10,0.17,0.17,0,0
com.github.davidmoten.rtree.geometry.GeometriesTest.testNormalizeLongitude2,0,2,1,1,1,0.11,3,9,1,72,37,0,12,0.66,0,1,0
com.github.davidmoten.rtree.geometry.GeometriesTest.testNormalizeLongitude2Neg,0,2,1,1,1,0.11,3,9,1,74,35,0,12,0.68,0,1,0
com.github.davidmoten.rtree.geometry.GeometriesTest.testNormalizeLongitude3,0,2,1,1,1,0.11,3,9,1,73,36,1,11,0.67,0.08,1,0
com.github.davidmoten.rtree.geometry.GeometriesTest.testNormalizeLongitude3_1,0,2,1,1,1,0.11,3,9,1,80,48,2,10,0.62,0.17,1,0
com.github.davidmoten.rtree.geometry.GeometriesTest.testNormalizeLongitude3_2,0,2,1,1,1,0.11,3,9,1,26,9,7,1,0.74,0.88,1,1
com.github.davidmoten.rtree.geometry.GeometriesTest.testNormalizeLongitude3_3,0,2,1,1,1,0.11,3,9,1,76,33,1,11,0.7,0.08,1,0
com.github.davidmoten.rtree.geometry.GeometriesTest.testNormalizeLongitude3_4,0,2,1,1,1,0.11,3,9,1,90,38,1,11,0.7,0.08,1,0
com.github.davidmoten.rtree.geometry.GeometriesTest.testNormalizeLongitude3Neg,0,2,1,1,1,0.11,3,9,1,76,33,1,11,0.7,0.08,1,0
com.github.davidmoten.rtree.geometry.GeometriesTest.testNormalizeLongitude4,0,2,1,1,1,0.11,3,9,1,87,41,0,12,0.68,0,1,0
com.github.davidmoten.rtree.geometry.GeometriesTest.testNormalizeLongitude4Neg,0,2,1,1,1,0.11,3,9,1,90,38,1,11,0.7,0.08,1,0
com.github.davidmoten.rtree.geometry.GeometriesTest.testNormalizeLongitude5,0,2,1,1,1,0.11,3,9,1,89,39,4,8,0.7,0.33,1,1
com.github.davidmoten.rtree.geometry.GeometriesTest.testNormalizeLongitude5Neg,0,2,1,1,1,0.11,3,9,1,91,37,5,7,0.71,0.42,1,1
com.github.davidmoten.rtree.geometry.GeometriesTest.testPointLatLong,0,6,2,2,1,0.08,5,17,1,113,53,5,12,0.68,0.29,1,1
com.github.davidmoten.rtree.geometry.GeometriesTest.testPrivateConstructorForCoverageOnly,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
com.github.davidmoten.rtree.geometry.GeometriesTest.testRectangleLatLong,0,8,2,2,1,0.26,7,27,1,170,86,6,20,0.66,0.23,1,0
com.github.davidmoten.rtree.geometry.GeometriesTest.testRectangleLatLong2,0,6,2,2,1,0.29,5,25,1,134,91,3,18,0.6,0.14,1,0
com.github.davidmoten.rtree.geometry.internal.GeometryUtilTest.isUtilityClass,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
com.github.davidmoten.rtree.geometry.IntersectsTest.testConstructorIsPrivate,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
com.github.davidmoten.rtree.geometry.IntersectsTest.testRectangleDoesNotIntersectCircle,0,17,6,2,1,0.06,4,45,0,69,362,2,23,0.16,0.08,0,0
com.github.davidmoten.rtree.geometry.IntersectsTest.testRectangleIntersectsCircle,0,16,6,2,1,0.07,4,42,0,56,189,3,17,0.23,0.15,0,0
com.github.davidmoten.rtree.geometry.LineTest.testDoesIntersectOtherLine,0,15,4,3,2,0.03,5,45,0,51,224,8,6,0.19,0.57,0,1
com.github.davidmoten.rtree.geometry.LineTest.testDoesIntersectRectangle,0,17,6,3,2,0.03,5,77,0,65,496,5,11,0.12,0.31,0,1
com.github.davidmoten.rtree.geometry.LineTest.testDoesNotIntersectLine,0,17,5,3,2,0.06,5,53,0,79,233,7,10,0.25,0.41,0,1
com.github.davidmoten.rtree.geometry.LineTest.testDoesNotIntersectRectangle,0,17,6,3,2,0.03,5,77,0,149,329,7,9,0.31,0.44,0,1
com.github.davidmoten.rtree.geometry.LineTest.testLineDistanceToRectangle,0,18,4,3,2,0.04,5,74,0,279,267,7,18,0.51,0.28,0,0
com.github.davidmoten.rtree.geometry.LineTest.testLineDistanceToRectangleIsZeroWhenContainsEastEdge,0,18,4,3,2,0.04,5,74,0,163,393,7,24,0.29,0.23,0,0
com.github.davidmoten.rtree.geometry.LineTest.testLineDistanceToRectangleIsZeroWhenContainsNorthEdge,0,17,4,3,2,0.04,5,73,0,125,393,2,24,0.24,0.08,0,0
com.github.davidmoten.rtree.geometry.LineTest.testLineDistanceToRectangleIsZeroWhenContainsSouthEdge,0,17,4,3,2,0.04,5,73,0,122,372,0,23,0.25,0,0,0
com.github.davidmoten.rtree.geometry.LineTest.testLineDistanceToRectangleIsZeroWhenContainsWestEdge,0,17,4,3,2,0.04,5,73,0,163,336,1,22,0.33,0.04,0,0
com.github.davidmoten.rtree.geometry.LineTest.testLineDistanceToRectangleIsZeroWhenOneEndIsInside,0,6,3,2,1,0.12,5,30,0,46,109,0,14,0.3,0,0,0
com.github.davidmoten.rtree.geometry.LineTest.testLineDistanceToRectangleIsZeroWhenOtherEndIsInside,0,6,3,2,1,0.12,5,30,0,54,100,4,10,0.35,0.29,0,1
com.github.davidmoten.rtree.geometry.LineTest.testLineDoesIntersectCircleEast,0,17,8,2,1,0.06,5,55,0,110,245,6,21,0.31,0.22,0,0
com.github.davidmoten.rtree.geometry.LineTest.testLineDoesIntersectCircleSouth,0,18,8,2,1,0.06,5,56,0,80,293,1,25,0.21,0.04,0,0
com.github.davidmoten.rtree.geometry.LineTest.testLineDoesIntersectCircleWest,0,17,8,2,1,0.06,5,55,0,94,246,6,17,0.28,0.26,0,0
com.github.davidmoten.rtree.geometry.LineTest.testLineDoesIntersectPoint,0,15,4,3,2,0.04,3,58,0,58,165,3,5,0.26,0.38,0,1
com.github.davidmoten.rtree.geometry.LineTest.testLineDoesNotIntersectCircle,0,18,8,2,1,0.06,5,56,0,101,272,2,24,0.27,0.08,0,0
com.github.davidmoten.rtree.geometry.LineTest.testLineDoesNotIntersectCircleEast,0,17,8,2,1,0.06,5,55,0,89,265,3,24,0.25,0.11,0,0
com.github.davidmoten.rtree.geometry.LineTest.testLineDoesNotIntersectCircleNorth,0,18,8,2,1,0.06,5,56,0,80,293,0,26,0.21,0,0,0
com.github.davidmoten.rtree.geometry.LineTest.testLineDoesNotIntersectCircleSouth,0,18,8,2,1,0.06,5,56,0,80,293,0,26,0.21,0,0,0
com.github.davidmoten.rtree.geometry.LineTest.testLineDoesNotIntersectCircleWest,0,17,8,2,1,0.06,5,55,0,113,241,5,22,0.32,0.19,0,0
com.github.davidmoten.rtree.geometry.LineTest.testLineDoesNotIntersectsPoint,0,16,4,3,2,0.03,3,72,0,98,314,0,10,0.24,0,0,0
com.github.davidmoten.rtree.geometry.LineTest.testLineDoubleIntersectsWithHorizontalLine,0,16,4,3,2,0.02,7,77,0,60,406,4,9,0.13,0.31,0,1
com.github.davidmoten.rtree.geometry.LineTest.testLineFloatIntersectsWithHorizontalLine,0,16,4,3,2,0.02,7,77,0,60,406,2,13,0.13,0.13,0,0
com.github.davidmoten.rtree.geometry.LineTest.testLineIntersectsCircle,0,18,8,2,1,0.06,5,56,0,113,261,7,19,0.3,0.27,0,0
com.github.davidmoten.rtree.geometry.LineTest.testLineIsPointOutsideCircle,0,15,8,2,1,0.07,5,53,0,52,231,4,26,0.18,0.13,0,0
com.github.davidmoten.rtree.geometry.LineTest.testLineIsPointWithinCircle,0,15,8,2,1,0.07,5,53,0,66,218,4,26,0.23,0.13,0,0
com.github.davidmoten.rtree.geometry.LineTest.testLineMbr,0,10,3,2,1,0.09,8,25,0,104,53,3,0,0.66,1,1,1
com.github.davidmoten.rtree.geometry.LineTest.testLineSameXWithinCircle,0,18,8,2,1,0.06,5,56,0,57,317,1,40,0.15,0.02,0,0
com.github.davidmoten.rtree.geometry.PointTest.testContains,0,3,2,2,1,0.33,4,7,0,29,16,5,2,0.64,0.71,1,1
com.github.davidmoten.rtree.geometry.PointTest.testCoordinates,0,4,2,2,1,0.25,5,8,0,26,12,0,0,0.68,0,1,0
com.github.davidmoten.rtree.geometry.PointTest.testDistanceToPoint,0,12,3,2,1,0.04,5,30,0,137,165,2,7,0.45,0.22,0,0
com.github.davidmoten.rtree.geometry.PointTest.testDistanceToRectangle,0,14,4,2,1,0.07,5,40,0,187,193,2,12,0.49,0.14,0,0
com.github.davidmoten.rtree.geometry.PointTest.testDoesNotContain,0,3,2,2,1,0.33,4,7,0,11,33,3,4,0.25,0.43,0,1
com.github.davidmoten.rtree.geometry.PointTest.testEquality,0,3,2,2,1,0.07,5,18,0,30,38,0,2,0.44,0,0,0
com.github.davidmoten.rtree.geometry.PointTest.testHashCode,0,3,2,2,1,0.14,4,11,0,61,24,8,0,0.72,1,1,1
com.github.davidmoten.rtree.geometry.PointTest.testInequality,0,3,2,2,1,0.07,5,18,0,18,49,7,1,0.27,0.88,0,1
com.github.davidmoten.rtree.geometry.PointTest.testInequalityToNull,0,3,2,2,1,0.07,4,18,0,14,23,4,0,0.38,1,0,1
com.github.davidmoten.rtree.geometry.PointTest.testIntersectIsFalseWhenPointsDiffer,0,15,4,2,1,0.07,5,37,0,62,265,2,10,0.19,0.17,0,0
com.github.davidmoten.rtree.geometry.PointTest.testMbr,0,3,2,2,1,0.07,5,18,0,26,42,0,2,0.38,0,0,0
com.github.davidmoten.rtree.geometry.PointTest.testPointIntersectsItself,0,12,3,2,1,0.04,4,28,0,26,87,2,2,0.23,0.5,0,1
com.github.davidmoten.rtree.geometry.RectangleTest.testContains,0,3,2,2,1,0.33,4,11,0,33,65,0,10,0.34,0,0,0
com.github.davidmoten.rtree.geometry.RectangleTest.testContainsReturnsFalseWhenGreaterThanMaxX,0,3,2,2,1,0.33,4,11,0,31,66,2,8,0.32,0.2,0,0
com.github.davidmoten.rtree.geometry.RectangleTest.testContainsReturnsFalseWhenGreaterThanMaxY,0,3,2,2,1,0.33,4,11,0,29,68,0,10,0.3,0,0,0
com.github.davidmoten.rtree.geometry.RectangleTest.testContainsReturnsFalseWhenLessThanMinX,0,3,2,2,1,0.33,4,11,0,38,59,3,7,0.39,0.3,0,1
com.github.davidmoten.rtree.geometry.RectangleTest.testContainsReturnsFalseWhenLessThanMinY,0,3,2,2,1,0.33,4,11,0,29,68,0,10,0.3,0,0,0
com.github.davidmoten.rtree.geometry.RectangleTest.testDistanceToOverlapIsZero,0,9,3,2,1,0.05,6,29,0,34,114,2,5,0.23,0.29,0,1
com.github.davidmoten.rtree.geometry.RectangleTest.testDistanceToSelfIsZero,0,9,3,2,1,0.05,4,29,0,26,122,2,5,0.18,0.29,0,1
com.github.davidmoten.rtree.geometry.RectangleTest.testDistanceWhenSeparatedByDiagonally,0,10,3,2,1,0.04,6,32,0,217,123,0,12,0.64,0,1,0
com.github.davidmoten.rtree.geometry.RectangleTest.testDistanceWhenSeparatedByXOnly,0,10,3,2,1,0.04,6,32,0,154,183,0,12,0.46,0,0,0
com.github.davidmoten.rtree.geometry.RectangleTest.testDistanceWhenSeparatedByXOnlyAndOverlapOnY,0,10,3,2,1,0.04,6,32,0,180,166,3,9,0.52,0.25,0,0
com.github.davidmoten.rtree.geometry.RectangleTest.testGeometry,0,5,3,3,2,0.08,4,21,0,54,76,1,10,0.42,0.09,0,0
com.github.davidmoten.rtree.geometry.RectangleTest.testInequalityWithNull,0,4,3,3,2,0.08,3,20,0,34,63,5,5,0.35,0.5,0,1
com.github.davidmoten.rtree.geometry.RectangleTest.testIntersectionAreaCornerIntersect,0,13,4,2,1,0.05,5,37,0,158,116,1,9,0.58,0.1,1,0
com.github.davidmoten.rtree.geometry.RectangleTest.testIntersectionAreaTopIntersect,0,13,4,2,1,0.05,5,37,0,171,109,4,6,0.61,0.4,1,1
com.github.davidmoten.rtree.geometry.RectangleTest.testIntersectionAreaWhenDontIntersect,0,9,3,2,1,0.08,5,21,0,36,106,5,5,0.25,0.5,0,1
com.github.davidmoten.rtree.geometry.RectangleTest.testIntersectionAreWhenEqual,0,13,4,2,1,0.05,5,37,0,150,124,1,10,0.55,0.09,0,0
com.github.davidmoten.rtree.geometry.RectangleTest.testIntersects,0,8,3,2,1,0.12,6,16,0,37,93,0,5,0.28,0,0,0
com.github.davidmoten.rtree.geometry.RectangleTest.testIntersectsNoRectangleContainsCornerOfAnother,0,16,4,2,1,0.11,6,35,0,72,182,1,6,0.28,0.14,0,0
com.github.davidmoten.rtree.geometry.RectangleTest.testIntersectsOneRectangleContainsTheOther,0,8,3,2,1,0.12,6,16,0,37,93,0,5,0.28,0,0,0
com.github.davidmoten.rtree.geometry.RectangleTest.testIntersectsOneRectangleReturnsTrueDespiteZeroArea,0,8,3,2,1,0.12,6,16,0,41,89,0,5,0.32,0,0,0
com.github.davidmoten.rtree.geometry.RectangleTest.testSimpleEquality,0,4,3,3,2,0.08,5,20,0,53,76,0,10,0.41,0,0,0
com.github.davidmoten.rtree.geometry.RectangleTest.testSimpleInEquality1,0,4,3,3,2,0.08,5,20,0,29,99,0,10,0.23,0,0,0
com.github.davidmoten.rtree.geometry.RectangleTest.testSimpleInEquality2,0,4,3,3,2,0.08,5,20,0,34,81,2,6,0.3,0.25,0,0
com.github.davidmoten.rtree.geometry.RectangleTest.testSimpleInEquality3,0,4,3,3,2,0.08,5,20,0,38,90,2,8,0.3,0.2,0,0
