TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,NKM,NSM,dNKM,dNSM,MutationScore,dMutationScore
com.github.scribejava.core.model.ParameterListTest.shouldAppendNothingToQuerystringIfGivenEmptyMap,1,4,2,2,2,0.33,6,21,1,24,19,3,0,0.56,1.00
com.github.scribejava.core.model.TokenTest.shouldTestEqualityBasedOnTokenAndSecret,1,7,3,2,2,0.00,6,32,0,27,32,4,2,0.46,0.67
com.github.scribejava.httpclient.okhttp.OkHttpHttpClientTest.shouldCallCallback,1,11,4,1,1,0.00,2,75,1,58,30,0,2,0.66,0.00
com.github.scribejava.httpclient.apache.ApacheHttpClientTest.shouldReadResponseStream,1,9,4,1,1,0.00,2,75,1,68,42,0,5,0.62,0.00
com.github.scribejava.core.extractors.BaseStringExtractorTest.shouldProperlyEncodeSpaces,2,27,6,3,3,0.11,49,106,0,128,63,1,9,0.67,0.10
com.github.scribejava.httpclient.apache.OAuthAsyncCompletionHandlerTest.shouldReleaseLatchOnCancel,1,2,1,1,1,0.56,22,14,1,13,7,5,0,0.65,1.00
com.github.scribejava.apis.facebook.FacebookAccessTokenJsonExtractorTest.shouldThrowExceptionIfResponseIsError,0,7,3,1,1,0.45,13,19,1,21,4,7,0,0.84,1.00
com.github.scribejava.core.model.ParameterListTest.shouldProperlySortParametersWithTheSameName,1,12,4,2,2,0.36,9,43,1,57,26,1,1,0.69,0.50
com.github.scribejava.core.httpclient.jdk.JDKHttpClientTest.shouldCallCallback,3,31,10,4,4,0.04,22,161,1,141,166,0,10,0.46,0.00
com.github.scribejava.httpclient.ahc.AhcHttpClientTest.shouldReadResponseStream,1,6,3,1,1,0.00,2,51,1,40,18,0,1,0.69,0.00
com.github.scribejava.core.model.RequestTest.shouldSetPayloadAndHeaders,1,5,2,1,1,0.46,7,28,0,6,16,0,0,0.27,0.00
com.github.scribejava.httpclient.armeria.ArmeriaHttpClientTest.shouldSendGetRequest,2,16,3,1,1,0.04,24,123,1,110,39,1,1,0.74,0.50
com.github.scribejava.httpclient.okhttp.OkHttpHttpClientTest.shouldSendPostWithApplicationXWwwFormUrlencodedRequestContentTypeHeader,1,12,5,1,1,0.00,2,77,1,71,44,2,2,0.62,0.50
com.github.scribejava.core.extractors.BaseStringExtractorTest.shouldExcludePort443v2,2,25,6,3,3,0.09,49,102,0,129,59,6,7,0.69,0.46
com.github.scribejava.core.httpclient.multipart.MultipartUtilsTest.testNonValidIllegalSymbolCheckBoundarySyntax,0,1,1,1,1,0.00,7,3,1,5,5,1,1,0.50,0.50
com.github.scribejava.core.extractors.OAuth2AccessTokenJsonExtractorTest.shouldThrowExceptionIfResponseIsError,1,14,6,4,4,0.23,10,103,1,70,88,8,1,0.44,0.89
com.github.scribejava.httpclient.ning.NingHttpClientTest.shouldSendPostRequestWithStringBody,1,8,4,1,1,0.00,2,62,1,47,36,3,2,0.57,0.60
com.github.scribejava.core.services.RSASha1SignatureServiceTest.shouldReturnSignatureMethodString,1,1,1,1,1,1.00,11,4,1,1,1,1,1,0.50,0.50
com.github.scribejava.httpclient.okhttp.OAuthAsyncCompletionHandlerTest.shouldReleaseLatchOnIOException,2,5,3,1,1,0.43,32,37,1,28,17,4,2,0.62,0.67
com.github.scribejava.core.extractors.BaseStringExtractorTest.shouldExcludePort443,2,25,6,3,3,0.09,49,102,0,129,59,6,7,0.69,0.46
com.github.scribejava.httpclient.apache.ApacheHttpClientTest.shouldSendPostRequestWithBodyParamsBody,1,9,4,1,1,0.00,2,75,1,83,36,3,1,0.70,0.75
com.github.scribejava.core.oauth.OAuth20ServiceTest.shouldProduceCorrectRequestSync,4,33,15,8,6,0.23,36,135,1,117,119,3,3,0.50,0.50
com.github.scribejava.core.utils.OAuthEncoderTest.shouldNotPercentEncodeReservedCharacters,0,4,2,1,1,0.60,5,15,1,19,13,0,0,0.59,0.00
com.github.scribejava.httpclient.ning.NingHttpClientTest.shouldReadResponseStream,1,7,3,1,1,0.00,2,61,1,43,23,1,1,0.65,0.50
com.github.scribejava.httpclient.apache.OAuthAsyncCompletionHandlerTest.shouldReleaseLatchOnFailure,1,2,1,1,1,0.56,19,14,1,12,7,4,0,0.63,1.00
com.github.scribejava.httpclient.armeria.ArmeriaHttpClientTest.shouldCallCallback,2,16,3,1,1,0.04,24,123,1,76,74,2,1,0.51,0.67
com.github.scribejava.core.model.RequestTest.shouldNotEncodeInByteBodyPayload,1,3,1,1,1,0.64,6,25,0,5,16,4,0,0.24,1.00
com.github.scribejava.httpclient.ahc.AhcHttpClientTest.shouldSendPostRequestWithEmptyBody,1,8,5,1,1,0.00,2,59,1,48,28,1,2,0.63,0.33
com.github.scribejava.httpclient.okhttp.OkHttpHttpClientTest.shouldSendGetRequest,1,11,4,1,1,0.00,2,76,1,64,35,0,2,0.65,0.00
com.github.scribejava.core.model.RequestTest.shouldGetQueryStringParameters,2,14,5,2,2,0.26,9,57,0,75,50,0,3,0.60,0.00
com.github.scribejava.httpclient.apache.ApacheHttpClientTest.shouldSendGetRequest,1,9,4,1,1,0.00,2,75,1,68,42,0,5,0.62,0.00
com.github.scribejava.core.model.ParameterListTest.shouldAppendParametersToSimpleUrl,1,8,4,2,2,0.26,10,38,1,55,33,4,4,0.62,0.50
com.github.scribejava.httpclient.ning.NingHttpClientTest.shouldSendPostRequestWithEmptyBody,1,9,5,1,1,0.00,2,69,1,51,33,1,2,0.61,0.33
com.github.scribejava.httpclient.apache.OAuthAsyncCompletionHandlerTest.shouldReportOAuthException,1,2,1,1,1,0.81,21,26,1,26,19,4,1,0.58,0.80
com.github.scribejava.core.httpclient.jdk.JDKHttpClientTest.shouldSendPostRequestWithStringBody,3,37,11,4,4,0.05,26,193,1,168,230,4,11,0.42,0.27
com.github.scribejava.httpclient.apache.ApacheHttpClientTest.shouldSendPostRequestWithByteBodyBody,1,9,4,1,1,0.00,2,75,1,83,36,3,1,0.70,0.75
com.github.scribejava.core.model.TokenTest.shouldReturnSameHashCodeForEqualObjects,1,7,3,2,2,0.00,5,26,0,10,75,0,2,0.12,0.00
com.github.scribejava.core.extractors.OAuth2AccessTokenExtractorTest.shouldExtractTokenFromOAuthStandardResponse,1,14,6,3,3,0.50,10,85,1,119,98,4,6,0.55,0.40
com.github.scribejava.core.extractors.OAuth1AccessTokenExtractorTest.shouldExtractTokenWithEmptySecret,1,15,7,3,3,0.48,10,69,1,79,83,0,2,0.49,0.00
com.github.scribejava.httpclient.ning.NingHttpClientTest.shouldCallCallback,1,7,3,1,1,0.00,2,61,1,29,38,0,2,0.43,0.00
com.github.scribejava.core.model.OAuthRequestTest.shouldAddOAuthParamters,1,3,1,1,1,0.43,10,18,1,10,12,0,0,0.45,0.00
com.github.scribejava.core.model.RequestTest.shouldSetBodyParamsAndAddContentLength,1,10,5,2,2,0.24,7,49,0,54,27,1,1,0.67,0.50
com.github.scribejava.httpclient.armeria.ArmeriaHttpClientTest.shouldReadResponseStream,2,16,3,1,1,0.04,24,123,1,110,39,1,1,0.74,0.50
com.github.scribejava.httpclient.ahc.AhcHttpClientTest.shouldPassErrors,1,6,3,1,1,0.00,2,51,1,31,28,1,0,0.53,1.00
com.github.scribejava.core.model.ParameterListTest.shouldAppendParametersToUrlWithQuerystring,1,8,4,2,2,0.26,10,38,1,60,28,0,8,0.68,0.00
com.github.scribejava.httpclient.okhttp.OkHttpHttpClientTest.shouldSendPostRequestWithBodyParamsBody,1,12,5,1,1,0.00,2,77,1,75,40,2,2,0.65,0.50
com.github.scribejava.httpclient.okhttp.OkHttpHttpClientTest.shouldReadResponseStream,1,11,4,1,1,0.00,2,76,1,64,35,0,2,0.65,0.00
com.github.scribejava.httpclient.okhttp.OAuthAsyncCompletionHandlerTest.shouldReleaseLatchOnSuccess,2,5,3,1,1,0.57,30,37,1,28,17,0,2,0.62,0.00
com.github.scribejava.core.extractors.OAuth1AccessTokenExtractorTest.shouldExtractTokenFromResponseWithCallbackConfirmed,1,15,7,3,3,0.48,10,69,1,81,81,2,0,0.50,1.00
com.github.scribejava.core.httpclient.multipart.MultipartUtilsTest.testSimpleMultipartPayload,3,14,4,1,1,0.60,25,78,1,105,35,6,6,0.75,0.50
com.github.scribejava.core.httpclient.multipart.MultipartUtilsTest.testValidCheckBoundarySyntax,0,2,1,1,1,0.50,6,6,1,5,3,0,2,0.62,0.00
com.github.scribejava.core.utils.OAuthEncoderTest.shouldFormURLDecodeString,0,3,2,1,1,0.44,5,9,1,13,13,0,0,0.50,0.00
com.github.scribejava.httpclient.ning.OAuthAsyncCompletionHandlerTest.shouldReportOAuthException,1,2,1,1,1,0.85,27,24,1,13,8,3,1,0.62,0.75
com.github.scribejava.core.services.RSASha1SignatureServiceTest.shouldReturnSignature,1,4,3,2,2,0.35,14,20,1,11,31,4,3,0.26,0.57
com.github.scribejava.httpclient.apache.OAuthAsyncCompletionHandlerTest.shouldReleaseLatchOnIOException,1,2,1,1,1,0.81,21,26,1,26,19,4,1,0.58,0.80
com.github.scribejava.httpclient.ahc.AhcHttpClientTest.shouldSendPostRequestWithBodyParamsBody,1,7,4,1,1,0.00,2,52,1,44,29,1,1,0.60,0.50
com.github.scribejava.core.extractors.BaseStringExtractorTest.shouldIncludePort8080,2,25,6,3,3,0.09,49,102,0,124,64,0,10,0.66,0.00
com.github.scribejava.core.extractors.OAuth2AccessTokenExtractorTest.shouldExtractTokenFromResponseWithExpiresParam,1,13,5,3,3,0.56,11,78,1,121,98,0,10,0.55,0.00
com.github.scribejava.httpclient.apache.ApacheHttpClientTest.shouldCallCallback,1,9,4,1,1,0.00,2,74,1,60,34,0,6,0.64,0.00
com.github.scribejava.core.services.HMACSha1SignatureServiceTest.shouldReturnSignatureMethodString,1,1,1,1,1,1.00,6,2,1,1,0,1,0,1.00,1.00
com.github.scribejava.core.model.RequestTest.shouldHandleQueryStringSpaceEncodingProperly,2,11,5,2,2,0.22,4,52,0,70,51,2,1,0.58,0.67
com.github.scribejava.core.model.RequestTest.shouldAllowAddingQuerystringParametersAfterCreation,1,10,4,2,2,0.32,6,46,0,41,50,1,2,0.45,0.33
com.github.scribejava.core.model.TokenTest.shouldReturnUrlParam,1,3,2,2,2,0.58,7,23,1,54,14,8,0,0.79,1.00
com.github.scribejava.core.model.RequestTest.shouldEncodeInBodyParamsPayload,1,10,5,2,2,0.24,8,49,0,54,27,1,1,0.67,0.50
com.github.scribejava.httpclient.ning.NingHttpClientTest.shouldSendPostRequestWithByteBodyBody,1,8,4,1,1,0.00,2,62,1,47,36,1,2,0.57,0.33
com.github.scribejava.core.extractors.BaseStringExtractorTest.shouldExcludePort80,2,25,6,3,3,0.09,49,102,0,129,51,5,3,0.72,0.62
com.github.scribejava.core.httpclient.multipart.MultipartUtilsTest.testNonValidTooLongCheckBoundarySyntax,0,1,1,1,1,0.00,7,3,1,5,5,1,1,0.50,0.50
com.github.scribejava.httpclient.ning.NingHttpClientTest.shouldSendGetRequest,1,7,3,1,1,0.00,2,61,1,43,23,1,1,0.65,0.50
com.github.scribejava.core.model.TokenTest.shouldNotBeEqualToNullOrOtherObjects,1,2,1,1,1,0.00,5,16,0,10,12,0,0,0.45,0.00
com.github.scribejava.httpclient.armeria.ArmeriaHttpClientTest.shouldPassErrors,2,16,3,1,1,0.04,24,123,1,79,71,2,1,0.53,0.67
com.github.scribejava.httpclient.ning.NingHttpClientTest.shouldSendPostRequestWithBodyParamsBody,1,8,4,1,1,0.00,2,62,1,47,36,1,2,0.57,0.33
com.github.scribejava.core.httpclient.multipart.MultipartUtilsTest.testFileByteArrayBodyPartPayloadMultipartPayload,2,13,5,1,1,0.48,15,89,1,121,38,6,7,0.76,0.46
com.github.scribejava.core.model.ParameterListTest.shouldNotModifyTheOriginalParameterList,1,5,2,1,1,0.56,7,19,1,9,19,0,0,0.32,0.00
com.github.scribejava.httpclient.okhttp.OAuthAsyncCompletionHandlerTest.shouldReportOAuthException,2,5,3,1,1,0.43,32,37,1,28,17,4,2,0.62,0.67
com.github.scribejava.httpclient.okhttp.OkHttpHttpClientTest.shouldPassErrors,1,11,4,1,1,0.00,2,75,1,58,30,1,1,0.66,0.50
com.github.scribejava.core.extractors.HeaderExtractorTest.shouldExtractStandardHeader,2,10,4,3,3,0.44,28,57,0,64,35,6,0,0.65,1.00
com.github.scribejava.core.httpclient.jdk.JDKHttpClientTest.shouldSendPostRequestWithByteBodyBody,3,38,11,4,4,0.05,24,199,1,170,232,4,13,0.42,0.24
com.github.scribejava.core.httpclient.multipart.MultipartUtilsTest.testCRLFMultipartPayload,2,12,4,1,1,0.57,18,76,1,89,36,0,7,0.71,0.00
com.github.scribejava.core.utils.StreamUtilsTest.shouldCorrectlyDecodeAStream,0,3,2,1,1,0.64,7,14,1,40,31,0,0,0.56,0.00
com.github.scribejava.apis.odnoklassniki.OdnoklassnikiServiceTest.testSigGeneration,0,6,3,2,1,0.03,16,34,0,51,5,8,0,0.91,1.00
com.github.scribejava.httpclient.ahc.AhcHttpClientTest.shouldSendPostWithApplicationXWwwFormUrlencodedRequestContentTypeHeader,1,7,4,1,1,0.00,2,52,1,47,29,1,2,0.62,0.33
com.github.scribejava.core.httpclient.jdk.JDKHttpClientTest.shouldSendPostRequestWithEmptyBody,3,39,12,4,4,0.03,23,209,1,175,226,4,10,0.44,0.29
com.github.scribejava.httpclient.apache.ApacheHttpClientTest.shouldSendPostRequestWithStringBody,1,9,4,1,1,0.00,2,75,1,83,36,5,1,0.70,0.83
com.github.scribejava.httpclient.apache.OAuthAsyncCompletionHandlerTest.shouldReleaseLatchOnSuccess,1,2,1,1,1,1.00,19,26,1,26,19,0,1,0.58,0.00
com.github.scribejava.core.model.OAuthRequestTest.shouldNotSentHeaderTwice,1,2,1,1,1,1.00,15,14,1,5,8,0,0,0.38,0.00
com.github.scribejava.core.extractors.OAuth2AccessTokenJsonExtractorTest.testEscapedJsonInResponse,1,15,6,3,3,0.43,8,76,1,82,83,0,5,0.50,0.00
com.github.scribejava.core.extractors.OAuth1AccessTokenExtractorTest.shouldExtractTokenFromOAuthStandardResponse,1,17,8,3,3,0.45,10,75,1,81,81,2,0,0.50,1.00
com.github.scribejava.core.model.RequestTest.shouldReturnTheCompleteUrl,1,10,5,2,2,0.09,6,49,0,67,35,1,8,0.66,0.11
com.github.scribejava.core.base64.Base64Test.testEncode,4,4,4,1,1,0.00,47,9,0,21,13,7,2,0.62,0.78
com.github.scribejava.httpclient.armeria.ArmeriaHttpClientTest.shouldSendPostWithApplicationXWwwFormUrlencodedRequestContentTypeHeader,2,17,4,1,1,0.04,24,124,1,130,41,2,1,0.76,0.67
com.github.scribejava.core.extractors.BaseStringExtractorTest.shouldExcludePort80v2,2,25,6,3,3,0.09,49,102,0,129,51,5,3,0.72,0.62
com.github.scribejava.core.httpclient.multipart.MultipartUtilsTest.testParseBoundaryFromHeader,0,1,1,1,1,1.00,36,4,1,19,1,8,0,0.95,1.00
