TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,NKM,NSM,dNKM,dNSM,MutationScore,dMutationScore
org.ta4j.core.analysis.criteria.ReturnOverMaxDrawdownCriterionTest.rewardRiskRatioCriterion[Test Case: 1 (0=DoubleNum; 1=DecimalNum)],4,64,14,6,1,0.01,31,331,1,0,0,0,0,0.00,0.00
org.ta4j.core.analysis.criteria.ExpectancyCriterionTest.calculateWithMixedPositions[Test Case: 0 (0=DoubleNum; 1=DecimalNum)],4,62,19,5,1,0.02,27,285,1,0,0,0,0,0.00,0.00
org.ta4j.core.analysis.criteria.NumberOfBreakEvenPositionsCriterionTest.calculateWithTwoShortPositions[Test Case: 0 (0=DoubleNum; 1=DecimalNum)],4,43,10,4,1,0.03,26,219,1,0,0,0,0,0.00,0.00
org.ta4j.core.analysis.criteria.NumberOfBreakEvenPositionsCriterionTest.testCalculateOneOpenPositionShouldReturnZero[Test Case: 1 (0=DoubleNum; 1=DecimalNum)],4,22,8,4,1,0.17,29,149,1,0,0,0,0,0.00,0.00
org.ta4j.core.analysis.criteria.NumberOfWinningPositionsCriterionTest.testCalculateOneOpenPositionShouldReturnZero[Test Case: 0 (0=DoubleNum; 1=DecimalNum)],4,24,8,4,1,0.19,29,133,1,0,0,0,0,0.00,0.00
ta4jexamples.strategies.GlobalExtremaStrategyTest.test,0,4,2,2,2,0.12,3,67,1,0,0,0,0,0.00,0.00
ta4jexamples.strategies.RSI2StrategyTest.test,0,4,2,2,2,0.12,3,68,1,0,0,0,0,0.00,0.00
org.ta4j.core.rules.IsFallingRuleTest.isSatisfied,3,11,8,5,1,0.05,16,81,1,0,0,0,0,0.00,0.00
org.ta4j.core.num.NumTest.testFailDifferentNumsCompare[Test Case: 0 (0=DoubleNum; 1=DecimalNum)],0,3,3,1,1,0.33,10,10,1,0,0,0,0,0.00,0.00
org.ta4j.core.analysis.criteria.ExpectedShortfallCriterionTest.betterThan[Test Case: 1 (0=DoubleNum; 1=DecimalNum)],1,5,3,2,2,0.00,15,15,1,0,0,0,0,0.00,0.00
org.ta4j.core.indicators.AroonDownIndicatorTest.onlyNaNValues[Test Case: 0 (0=DoubleNum; 1=DecimalNum)],2,30,9,3,1,0.30,35,230,1,0,0,0,0,0.00,0.00
org.ta4j.core.rules.IsEqualRuleTest.isSatisfied,3,13,9,5,1,0.06,10,78,1,0,0,0,0,0.00,0.00
org.ta4j.core.analysis.criteria.AbstractAnalysisCriterionTest.bestShouldBeBuyAndHoldOnLoss[Test Case: 0 (0=DoubleNum; 1=DecimalNum)],6,64,18,5,1,0.05,30,289,0,0,0,0,0,0.00,0.00
org.ta4j.core.analysis.criteria.LinearTransactionCostCriterionTest.fixedCost[Test Case: 1 (0=DoubleNum; 1=DecimalNum)],4,50,13,5,1,0.02,45,267,1,0,0,0,0,0.00,0.00
org.ta4j.core.num.NumTest.testDecimalNumPrecision[Test Case: 0 (0=DoubleNum; 1=DecimalNum)],0,5,2,1,1,0.77,22,20,0,0,0,0,0,0.00,0.00
org.ta4j.core.analysis.criteria.pnl.ProfitLossRatioCriterionTest.testCalculateOneOpenPositionShouldReturnZero[Test Case: 0 (0=DoubleNum; 1=DecimalNum)],4,26,10,5,1,0.15,29,159,1,0,0,0,0,0.00,0.00
org.ta4j.core.indicators.statistics.PeriodicalGrowthRateIndicatorTest.testStrategies[Test Case: 0 (0=DoubleNum; 1=DecimalNum)],8,70,23,7,1,0.01,27,380,1,0,0,0,0,0.00,0.00
org.ta4j.core.indicators.RSIIndicatorTest.xlsTest[Test Case: 1 (0=DoubleNum; 1=DecimalNum)],5,47,14,4,1,0.06,146,322,1,0,0,0,0,0.00,0.00
