TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,NKM,NSM,dNKM,dNSM,MutationScore,dMutationScore
com.google.zxing.qrcode.encoder.EncoderTestCase.testMinimalEncoder44,0,35,9,3,3,0.05,6,305,0,94,83,0,14,0.53,0.00
com.google.zxing.oned.Code128WriterTestCase.testEncodeWithForcedCodeSetFailureCodeSetABadCharacter,2,4,2,1,1,0.00,9,46,0,4,13,1,0,0.24,1.00
com.google.zxing.qrcode.decoder.DecodedBitStreamParserTestCase.testHanziLevel1,0,9,5,2,2,0.52,33,143,0,42,23,2,1,0.65,0.67
com.google.zxing.oned.Code128WriterTestCase.testShift,2,34,8,3,1,0.29,28,640,0,208,109,2,9,0.66,0.18
com.google.zxing.common.BitArrayTestCase.testGetNextSet1,1,3,1,1,1,0.92,8,17,0,7,5,0,0,0.58,0.00
com.google.zxing.client.result.AddressBookParsedResultTestCase.testVCardValueURI,1,27,9,2,1,0.07,20,282,0,52,51,3,13,0.50,0.19
com.google.zxing.datamatrix.encoder.HighLevelEncodeTestCase.testPadding,0,88,12,2,2,0.00,9,863,0,197,406,0,23,0.33,0.00
com.google.zxing.oned.rss.expanded.decoders.AI013X0X1XDecoderTest.test01310X131,1,17,6,2,2,0.24,32,128,0,54,10,0,0,0.84,0.00
com.google.zxing.aztec.decoder.DecoderTest.testHighLevelDecode,1,13,3,2,2,0.07,28,119,1,58,22,1,0,0.72,1.00
com.google.zxing.oned.UPCABlackBox5TestCase.testBlackBox,4,329,80,19,1,0.00,225,4434,0,900,2017,0,91,0.31,0.00
com.google.zxing.qrcode.encoder.MaskUtilTestCase.testApplyMaskPenaltyRule4,1,5,2,1,1,0.82,17,22,0,15,0,5,0,1.00,1.00
com.google.zxing.pdf417.decoder.PDF417DecoderTestCase.testBinaryData,0,28,6,3,3,0.08,21,453,0,159,71,1,16,0.69,0.06
com.google.zxing.qrcode.encoder.MatrixUtilTestCase.testToString,1,2,1,1,1,1.00,14,19,0,7,1,0,0,0.88,0.00
com.google.zxing.common.BitArrayTestCase.testGetNextSet5,1,5,1,1,1,0.94,16,20,0,16,2,0,0,0.89,0.00
com.google.zxing.oned.EAN13BlackBox1TestCase.testBlackBox,4,304,79,19,1,0.00,227,4140,0,770,1830,2,93,0.30,0.02
